chip_id,scenario,fail_proba,suitable_proba,approve,truly_deployable
CHIP_00053,high_frequency_computing,0.004,0.0,0,0
CHIP_00054,high_frequency_computing,0.005,0.0,0,0
CHIP_00055,high_frequency_computing,0.003,0.0,0,0
CHIP_00056,high_frequency_computing,0.004,0.0,0,0
CHIP_00057,high_frequency_computing,0.019,1.0,1,1
CHIP_00058,high_frequency_computing,0.004,0.0,0,0
CHIP_00059,high_frequency_computing,0.01,1.0,1,1
CHIP_00060,high_frequency_computing,0.993,0.0,0,0
CHIP_00061,high_frequency_computing,0.004,0.0,0,0
CHIP_00062,high_frequency_computing,0.023,0.005,0,0
CHIP_00063,high_frequency_computing,0.578,1.0,0,0
CHIP_00064,high_frequency_computing,0.006,1.0,1,1
CHIP_00065,high_frequency_computing,0.877,1.0,0,0
CHIP_00066,high_frequency_computing,0.003,0.001,0,0
CHIP_00067,high_frequency_computing,0.005,0.0,0,0
CHIP_00068,high_frequency_computing,0.017,1.0,1,1
CHIP_00069,high_frequency_computing,0.003,0.0,0,0
CHIP_00070,high_frequency_computing,0.004,0.0,0,0
CHIP_00071,high_frequency_computing,0.006,0.0,0,0
CHIP_00072,high_frequency_computing,0.005,0.0,0,0
CHIP_00073,high_frequency_computing,0.079,1.0,0,1
CHIP_00074,high_frequency_computing,0.004,1.0,1,1
CHIP_00075,high_frequency_computing,0.49,0.004,0,0
CHIP_00076,high_frequency_computing,0.02,0.0,0,0
CHIP_00077,high_frequency_computing,0.017,0.715,0,0
CHIP_00078,high_frequency_computing,0.009,0.0,0,0
CHIP_00079,high_frequency_computing,0.009,0.0,0,0
CHIP_00080,high_frequency_computing,0.005,0.983,1,1
CHIP_00081,high_frequency_computing,0.004,0.0,0,0
CHIP_00082,high_frequency_computing,0.006,0.0,0,0
CHIP_00083,high_frequency_computing,0.004,0.0,0,0
CHIP_00084,high_frequency_computing,0.003,0.0,0,0
CHIP_00085,high_frequency_computing,0.003,0.0,0,0
CHIP_00086,high_frequency_computing,0.004,0.0,0,0
CHIP_00087,high_frequency_computing,0.007,0.0,0,0
CHIP_00088,high_frequency_computing,0.007,0.0,0,0
CHIP_00089,high_frequency_computing,0.797,0.311,0,0
CHIP_00090,high_frequency_computing,0.017,1.0,1,1
CHIP_00091,high_frequency_computing,0.003,0.0,0,0
CHIP_00092,high_frequency_computing,0.003,0.0,0,0
CHIP_00093,high_frequency_computing,0.005,0.002,0,0
CHIP_00094,high_frequency_computing,0.008,0.0,0,0
CHIP_00095,high_frequency_computing,0.004,0.0,0,0
CHIP_00096,high_frequency_computing,0.005,0.0,0,0
CHIP_00097,high_frequency_computing,0.012,0.0,0,0
CHIP_00098,high_frequency_computing,0.684,1.0,0,0
CHIP_00099,high_frequency_computing,0.004,0.0,0,0
CHIP_00100,high_frequency_computing,0.006,0.0,0,0
CHIP_00101,high_frequency_computing,0.01,1.0,1,1
CHIP_00102,high_frequency_computing,0.033,0.0,0,0
CHIP_00103,high_frequency_computing,0.025,1.0,0,1
CHIP_00104,high_frequency_computing,0.004,0.0,0,0
CHIP_00105,high_frequency_computing,0.009,0.0,0,0
CHIP_00106,high_frequency_computing,0.012,0.0,0,0
CHIP_00107,high_frequency_computing,0.003,0.0,0,0
CHIP_00108,high_frequency_computing,0.02,1.0,0,1
CHIP_00109,high_frequency_computing,0.004,0.0,0,0
CHIP_00110,high_frequency_computing,0.041,1.0,0,1
CHIP_00111,high_frequency_computing,0.011,0.0,0,0
CHIP_00112,high_frequency_computing,0.005,0.0,0,0
CHIP_00113,high_frequency_computing,0.021,0.0,0,0
CHIP_00114,high_frequency_computing,0.008,0.0,0,0
CHIP_00115,high_frequency_computing,0.008,0.0,0,0
CHIP_00116,high_frequency_computing,0.067,0.996,0,1
CHIP_00117,high_frequency_computing,0.565,0.002,0,0
CHIP_00118,high_frequency_computing,0.01,1.0,1,1
CHIP_00119,high_frequency_computing,0.01,0.0,0,0
CHIP_00120,high_frequency_computing,0.008,0.0,0,0
CHIP_00121,high_frequency_computing,0.002,0.014,0,0
CHIP_00122,high_frequency_computing,0.03,0.0,0,0
CHIP_00123,high_frequency_computing,0.01,1.0,1,1
CHIP_00124,high_frequency_computing,0.078,1.0,0,1
CHIP_00125,high_frequency_computing,0.007,0.0,0,0
CHIP_00126,high_frequency_computing,0.014,1.0,1,1
CHIP_00127,high_frequency_computing,0.005,0.0,0,0
CHIP_00128,high_frequency_computing,0.004,0.0,0,0
CHIP_00129,high_frequency_computing,0.004,0.0,0,0
CHIP_00130,high_frequency_computing,0.005,0.002,0,0
CHIP_00131,high_frequency_computing,0.007,0.0,0,0
CHIP_00132,high_frequency_computing,0.01,1.0,1,1
CHIP_00133,high_frequency_computing,0.003,0.0,0,0
CHIP_00134,high_frequency_computing,0.008,0.0,0,0
CHIP_00135,high_frequency_computing,0.016,0.0,0,0
CHIP_00136,high_frequency_computing,0.063,0.0,0,0
CHIP_00137,high_frequency_computing,0.802,1.0,0,0
CHIP_00138,high_frequency_computing,0.016,1.0,1,1
CHIP_00139,high_frequency_computing,0.017,1.0,1,1
CHIP_00140,high_frequency_computing,0.004,0.0,0,0
CHIP_00141,high_frequency_computing,0.016,0.0,0,0
CHIP_00142,high_frequency_computing,0.048,0.0,0,0
CHIP_00143,high_frequency_computing,0.002,0.996,1,1
CHIP_00144,high_frequency_computing,0.006,0.0,0,0
CHIP_00145,high_frequency_computing,0.003,0.0,0,0
CHIP_00146,high_frequency_computing,0.01,0.0,0,0
CHIP_00147,high_frequency_computing,0.003,0.0,0,0
CHIP_00148,high_frequency_computing,0.033,1.0,0,1
CHIP_00149,high_frequency_computing,0.016,1.0,1,1
CHIP_00150,high_frequency_computing,0.004,0.0,0,0
CHIP_00151,high_frequency_computing,0.005,0.0,0,0
CHIP_00152,high_frequency_computing,0.004,0.0,0,0
CHIP_00153,high_frequency_computing,0.015,0.0,0,0
CHIP_00154,high_frequency_computing,0.004,0.007,0,0
CHIP_00155,high_frequency_computing,0.03,1.0,0,1
CHIP_00156,high_frequency_computing,0.002,0.0,0,0
CHIP_00157,high_frequency_computing,0.027,1.0,0,1
CHIP_00158,high_frequency_computing,0.004,0.0,0,0
CHIP_00159,high_frequency_computing,0.011,0.0,0,0
CHIP_00160,high_frequency_computing,0.004,0.0,0,0
CHIP_00161,high_frequency_computing,0.003,0.0,0,0
CHIP_00162,high_frequency_computing,0.014,1.0,1,1
CHIP_00163,high_frequency_computing,0.068,0.0,0,0
CHIP_00164,high_frequency_computing,0.017,1.0,1,1
CHIP_00165,high_frequency_computing,0.008,0.0,0,0
CHIP_00166,high_frequency_computing,0.014,1.0,1,1
CHIP_00167,high_frequency_computing,0.011,1.0,1,1
CHIP_00168,high_frequency_computing,0.994,0.0,0,0
CHIP_00169,high_frequency_computing,0.035,0.0,0,0
CHIP_00170,high_frequency_computing,0.003,0.029,0,0
CHIP_00171,high_frequency_computing,0.992,1.0,0,0
CHIP_00172,high_frequency_computing,0.003,0.0,0,0
CHIP_00173,high_frequency_computing,0.005,0.0,0,0
CHIP_00174,high_frequency_computing,0.005,0.0,0,0
CHIP_00175,high_frequency_computing,0.051,0.024,0,0
CHIP_00176,high_frequency_computing,0.009,1.0,1,1
CHIP_00177,high_frequency_computing,0.004,0.998,1,1
CHIP_00178,high_frequency_computing,0.004,0.0,0,0
CHIP_00179,high_frequency_computing,0.031,0.0,0,0
CHIP_00180,high_frequency_computing,0.01,1.0,1,1
CHIP_00181,high_frequency_computing,0.025,0.01,0,0
CHIP_00182,high_frequency_computing,0.003,0.0,0,0
CHIP_00183,high_frequency_computing,0.021,1.0,0,1
CHIP_00184,high_frequency_computing,0.028,0.79,0,1
CHIP_00185,high_frequency_computing,0.02,1.0,0,1
CHIP_00186,high_frequency_computing,0.019,0.035,0,0
CHIP_00187,high_frequency_computing,0.031,0.0,0,0
CHIP_00188,high_frequency_computing,0.005,0.0,0,0
CHIP_00189,high_frequency_computing,0.014,1.0,1,1
CHIP_00190,high_frequency_computing,0.012,1.0,1,1
CHIP_00191,high_frequency_computing,0.003,0.0,0,0
CHIP_00192,high_frequency_computing,0.004,0.0,0,0
CHIP_00193,high_frequency_computing,0.013,0.998,1,1
CHIP_00194,high_frequency_computing,0.004,0.0,0,0
CHIP_00195,high_frequency_computing,0.004,0.0,0,0
CHIP_00196,high_frequency_computing,0.012,1.0,1,1
CHIP_00197,high_frequency_computing,0.006,0.0,0,0
CHIP_00198,high_frequency_computing,0.017,0.0,0,0
CHIP_00199,high_frequency_computing,0.004,0.0,0,0
CHIP_00200,high_frequency_computing,0.004,0.998,1,1
CHIP_00201,high_frequency_computing,0.036,1.0,0,1
CHIP_00202,high_frequency_computing,0.043,0.153,0,0
CHIP_00203,high_frequency_computing,0.006,0.0,0,0
CHIP_00204,high_frequency_computing,0.013,0.0,0,0
CHIP_00205,high_frequency_computing,0.004,0.0,0,0
CHIP_00206,high_frequency_computing,0.005,0.0,0,0
CHIP_00207,high_frequency_computing,0.008,0.0,0,0
CHIP_00208,high_frequency_computing,0.008,0.0,0,0
CHIP_00209,high_frequency_computing,0.003,0.0,0,0
CHIP_00210,high_frequency_computing,0.023,1.0,0,1
CHIP_00211,high_frequency_computing,0.019,0.0,0,0
CHIP_00212,high_frequency_computing,0.013,0.362,0,1
CHIP_00213,high_frequency_computing,0.004,0.0,0,0
CHIP_00214,high_frequency_computing,0.005,0.0,0,0
CHIP_00215,high_frequency_computing,0.01,1.0,1,1
CHIP_00216,high_frequency_computing,0.017,1.0,1,1
CHIP_00217,high_frequency_computing,0.012,1.0,1,1
CHIP_00218,high_frequency_computing,0.011,0.0,0,0
CHIP_00219,high_frequency_computing,0.004,0.0,0,0
CHIP_00220,high_frequency_computing,0.013,0.0,0,0
CHIP_00221,high_frequency_computing,0.002,0.0,0,0
CHIP_00222,high_frequency_computing,0.008,0.991,1,1
CHIP_00223,high_frequency_computing,0.158,0.0,0,0
CHIP_00224,high_frequency_computing,0.009,0.0,0,0
CHIP_00225,high_frequency_computing,0.004,0.959,0,1
CHIP_00226,high_frequency_computing,0.488,1.0,0,1
CHIP_00227,high_frequency_computing,0.014,1.0,1,1
CHIP_00228,high_frequency_computing,0.383,0.0,0,0
CHIP_00229,high_frequency_computing,0.014,0.0,0,0
CHIP_00230,high_frequency_computing,0.007,0.0,0,0
CHIP_00231,high_frequency_computing,0.007,0.0,0,0
CHIP_00232,high_frequency_computing,0.016,0.997,1,1
CHIP_00233,high_frequency_computing,0.094,1.0,0,1
CHIP_00234,high_frequency_computing,0.003,0.0,0,0
CHIP_00235,high_frequency_computing,0.011,0.0,0,0
CHIP_00236,high_frequency_computing,0.004,0.0,0,0
CHIP_00237,high_frequency_computing,0.005,0.0,0,0
CHIP_00238,high_frequency_computing,0.005,0.0,0,0
CHIP_00239,high_frequency_computing,0.003,0.0,0,0
CHIP_00240,high_frequency_computing,0.012,0.0,0,0
CHIP_00241,high_frequency_computing,0.003,0.0,0,0
CHIP_00242,high_frequency_computing,0.008,0.0,0,0
CHIP_00243,high_frequency_computing,0.007,0.0,0,0
CHIP_00244,high_frequency_computing,0.988,1.0,0,0
CHIP_00245,high_frequency_computing,0.005,0.0,0,0
CHIP_00246,high_frequency_computing,0.005,0.0,0,0
CHIP_00247,high_frequency_computing,0.015,1.0,1,1
CHIP_00248,high_frequency_computing,0.114,1.0,0,1
CHIP_00249,high_frequency_computing,0.006,0.0,0,0
CHIP_00250,high_frequency_computing,0.025,0.0,0,0
CHIP_00251,high_frequency_computing,0.004,0.001,0,0
CHIP_00252,high_frequency_computing,0.01,1.0,1,1
CHIP_00253,high_frequency_computing,0.005,0.0,0,0
CHIP_00254,high_frequency_computing,0.004,0.0,0,0
CHIP_00255,high_frequency_computing,0.081,0.0,0,0
CHIP_00256,high_frequency_computing,0.002,0.0,0,0
CHIP_00257,high_frequency_computing,0.01,0.0,0,0
CHIP_00258,high_frequency_computing,0.005,0.0,0,0
CHIP_00259,high_frequency_computing,0.017,0.0,0,0
CHIP_00260,high_frequency_computing,0.006,0.0,0,0
CHIP_00261,high_frequency_computing,0.007,0.0,0,0
CHIP_00262,high_frequency_computing,0.004,0.0,0,0
CHIP_00263,high_frequency_computing,0.943,0.0,0,0
CHIP_00264,high_frequency_computing,0.942,0.004,0,0
CHIP_00265,high_frequency_computing,0.073,1.0,0,0
CHIP_00266,high_frequency_computing,0.005,1.0,1,1
CHIP_00267,high_frequency_computing,0.159,0.0,0,0
CHIP_00268,high_frequency_computing,0.019,0.001,0,0
CHIP_00269,high_frequency_computing,0.003,0.003,0,0
CHIP_00270,high_frequency_computing,0.015,0.0,0,0
CHIP_00271,high_frequency_computing,0.003,0.0,0,0
CHIP_00272,high_frequency_computing,0.005,0.999,1,1
CHIP_00273,high_frequency_computing,0.023,1.0,0,1
CHIP_00274,high_frequency_computing,0.016,1.0,1,1
CHIP_00275,high_frequency_computing,0.003,0.0,0,0
CHIP_00276,high_frequency_computing,0.995,0.0,0,0
CHIP_00277,high_frequency_computing,0.004,0.0,0,0
CHIP_00278,high_frequency_computing,0.014,1.0,1,1
CHIP_00279,high_frequency_computing,0.013,0.0,0,0
CHIP_00280,high_frequency_computing,0.006,1.0,1,1
CHIP_00281,high_frequency_computing,0.003,0.0,0,0
CHIP_00282,high_frequency_computing,0.025,1.0,0,1
CHIP_00283,high_frequency_computing,0.004,0.996,1,1
CHIP_00284,high_frequency_computing,0.012,0.0,0,0
CHIP_00285,high_frequency_computing,0.003,0.0,0,0
CHIP_00286,high_frequency_computing,0.006,1.0,1,1
CHIP_00287,high_frequency_computing,0.004,0.0,0,0
CHIP_00288,high_frequency_computing,0.004,0.0,0,0
CHIP_00289,high_frequency_computing,0.004,0.0,0,0
CHIP_00290,high_frequency_computing,0.005,0.0,0,0
CHIP_00291,high_frequency_computing,0.005,0.094,0,0
CHIP_00292,high_frequency_computing,0.009,1.0,1,1
CHIP_00293,high_frequency_computing,0.308,0.0,0,0
CHIP_00294,high_frequency_computing,0.01,0.0,0,0
CHIP_00295,high_frequency_computing,0.004,0.003,0,0
CHIP_00296,high_frequency_computing,0.005,0.996,1,1
CHIP_00297,high_frequency_computing,0.004,0.0,0,0
CHIP_00298,high_frequency_computing,0.004,0.0,0,0
CHIP_00299,high_frequency_computing,0.016,1.0,1,1
CHIP_00300,high_frequency_computing,0.012,1.0,1,1
CHIP_00301,high_frequency_computing,0.927,0.0,0,0
CHIP_00302,high_frequency_computing,0.045,1.0,0,1
CHIP_00303,high_frequency_computing,0.008,0.0,0,0
CHIP_00304,high_frequency_computing,0.003,0.0,0,0
CHIP_00305,high_frequency_computing,0.002,0.0,0,0
CHIP_00306,high_frequency_computing,0.006,0.0,0,0
CHIP_00307,high_frequency_computing,0.014,1.0,1,1
CHIP_00308,high_frequency_computing,0.016,0.023,0,0
CHIP_00309,high_frequency_computing,0.022,1.0,0,1
CHIP_00310,high_frequency_computing,0.014,1.0,1,1
CHIP_00311,high_frequency_computing,0.003,0.939,0,1
CHIP_00312,high_frequency_computing,0.022,1.0,0,1
CHIP_00313,high_frequency_computing,0.009,0.0,0,0
CHIP_00314,high_frequency_computing,0.053,1.0,0,1
CHIP_00315,high_frequency_computing,0.007,0.0,0,0
CHIP_00316,high_frequency_computing,0.005,0.0,0,0
CHIP_00317,high_frequency_computing,0.016,0.0,0,0
CHIP_00318,high_frequency_computing,0.977,0.088,0,0
CHIP_00319,high_frequency_computing,0.003,0.0,0,0
CHIP_00320,high_frequency_computing,0.005,1.0,1,1
CHIP_00321,high_frequency_computing,0.008,0.0,0,0
CHIP_00322,high_frequency_computing,0.015,1.0,1,1
CHIP_00323,high_frequency_computing,0.007,1.0,1,1
CHIP_00324,high_frequency_computing,0.071,1.0,0,1
CHIP_00325,high_frequency_computing,0.298,1.0,0,1
CHIP_00326,high_frequency_computing,0.01,0.0,0,0
CHIP_00327,high_frequency_computing,0.033,0.0,0,0
CHIP_00328,high_frequency_computing,0.005,0.0,0,0
CHIP_00329,high_frequency_computing,0.005,0.0,0,0
CHIP_00330,high_frequency_computing,0.01,1.0,1,1
CHIP_00331,high_frequency_computing,0.976,1.0,0,0
CHIP_00332,high_frequency_computing,0.026,0.0,0,0
CHIP_00333,high_frequency_computing,0.004,0.0,0,0
CHIP_00334,high_frequency_computing,0.005,0.0,0,0
CHIP_00335,high_frequency_computing,0.007,0.0,0,0
CHIP_00336,high_frequency_computing,0.004,0.0,0,0
CHIP_00337,high_frequency_computing,0.004,0.988,1,1
CHIP_00338,high_frequency_computing,0.059,1.0,0,0
CHIP_00339,high_frequency_computing,0.016,0.0,0,0
CHIP_00340,high_frequency_computing,0.03,0.0,0,0
CHIP_00341,high_frequency_computing,0.007,0.0,0,0
CHIP_00342,high_frequency_computing,0.003,0.0,0,0
CHIP_00343,high_frequency_computing,0.04,0.971,0,0
CHIP_00344,high_frequency_computing,0.125,1.0,0,0
CHIP_00345,high_frequency_computing,0.047,0.0,0,0
CHIP_00346,high_frequency_computing,0.005,0.005,0,0
CHIP_00347,high_frequency_computing,0.032,0.999,0,1
CHIP_00348,high_frequency_computing,0.011,0.0,0,0
CHIP_00349,high_frequency_computing,0.022,1.0,0,1
CHIP_00350,high_frequency_computing,0.004,0.003,0,0
CHIP_00351,high_frequency_computing,0.026,1.0,0,1
CHIP_00352,high_frequency_computing,0.006,0.0,0,0
CHIP_00353,high_frequency_computing,0.016,1.0,1,1
CHIP_00354,high_frequency_computing,0.015,1.0,1,1
CHIP_00355,high_frequency_computing,0.004,0.0,0,0
CHIP_00356,high_frequency_computing,0.019,0.002,0,0
CHIP_00357,high_frequency_computing,0.025,0.999,0,1
CHIP_00358,high_frequency_computing,0.009,0.0,0,0
CHIP_00359,high_frequency_computing,0.007,0.0,0,0
CHIP_00360,high_frequency_computing,0.013,0.0,0,0
CHIP_00361,high_frequency_computing,0.015,0.0,0,0
CHIP_00362,high_frequency_computing,0.226,1.0,0,0
CHIP_00363,high_frequency_computing,0.005,0.0,0,0
CHIP_00364,high_frequency_computing,0.005,0.0,0,0
CHIP_00365,high_frequency_computing,0.05,1.0,0,1
CHIP_00366,high_frequency_computing,0.003,0.0,0,0
CHIP_00367,high_frequency_computing,0.004,0.0,0,0
CHIP_00368,high_frequency_computing,0.004,0.0,0,0
CHIP_00369,high_frequency_computing,0.048,1.0,0,1
CHIP_00370,high_frequency_computing,0.009,0.0,0,0
CHIP_00371,high_frequency_computing,0.036,1.0,0,1
CHIP_00372,high_frequency_computing,0.028,0.969,0,0
CHIP_00373,high_frequency_computing,0.008,1.0,1,1
CHIP_00374,high_frequency_computing,0.039,1.0,0,1
CHIP_00375,high_frequency_computing,0.009,1.0,1,1
CHIP_00376,high_frequency_computing,0.013,0.001,0,0
CHIP_00377,high_frequency_computing,0.008,0.0,0,0
CHIP_00378,high_frequency_computing,0.011,1.0,1,1
CHIP_00379,high_frequency_computing,0.005,0.0,0,0
CHIP_00380,high_frequency_computing,0.48,0.001,0,0
CHIP_00381,high_frequency_computing,0.056,1.0,0,1
CHIP_00382,high_frequency_computing,0.008,0.0,0,0
CHIP_00383,high_frequency_computing,0.004,0.0,0,0
CHIP_00384,high_frequency_computing,0.012,0.0,0,0
CHIP_00385,high_frequency_computing,0.004,0.0,0,0
CHIP_00386,high_frequency_computing,0.013,1.0,1,1
CHIP_00387,high_frequency_computing,0.004,0.994,1,1
CHIP_00388,high_frequency_computing,0.016,1.0,1,1
CHIP_00389,high_frequency_computing,0.005,0.0,0,0
CHIP_00390,high_frequency_computing,0.01,0.0,0,0
CHIP_00391,high_frequency_computing,0.003,0.0,0,0
CHIP_00392,high_frequency_computing,0.009,0.0,0,0
CHIP_00393,high_frequency_computing,0.009,0.0,0,0
CHIP_00394,high_frequency_computing,0.039,1.0,0,1
CHIP_00395,high_frequency_computing,0.004,0.0,0,0
CHIP_00396,high_frequency_computing,0.017,1.0,1,1
CHIP_00397,high_frequency_computing,0.099,1.0,0,1
CHIP_00398,high_frequency_computing,0.002,0.001,0,0
CHIP_00399,high_frequency_computing,0.004,0.0,0,0
CHIP_00400,high_frequency_computing,0.027,0.0,0,0
CHIP_00401,high_frequency_computing,0.002,0.0,0,0
CHIP_00402,high_frequency_computing,0.053,0.983,0,1
CHIP_00403,high_frequency_computing,0.006,0.0,0,0
CHIP_00404,high_frequency_computing,0.033,0.001,0,0
CHIP_00405,high_frequency_computing,0.008,0.0,0,0
CHIP_00406,high_frequency_computing,0.006,0.0,0,0
CHIP_00407,high_frequency_computing,0.024,1.0,0,1
CHIP_00408,high_frequency_computing,0.013,0.0,0,0
CHIP_00409,high_frequency_computing,0.004,0.0,0,0
CHIP_00410,high_frequency_computing,0.005,0.0,0,0
CHIP_00411,high_frequency_computing,0.023,0.0,0,0
CHIP_00412,high_frequency_computing,0.018,0.0,0,0
CHIP_00413,high_frequency_computing,0.016,0.991,1,1
CHIP_00414,high_frequency_computing,0.008,0.0,0,0
CHIP_00415,high_frequency_computing,0.009,0.0,0,0
CHIP_00416,high_frequency_computing,0.01,0.328,0,1
CHIP_00417,high_frequency_computing,0.029,1.0,0,1
CHIP_00418,high_frequency_computing,0.006,0.0,0,0
CHIP_00419,high_frequency_computing,0.093,0.047,0,0
CHIP_00420,high_frequency_computing,0.004,0.0,0,0
CHIP_00421,high_frequency_computing,0.003,0.0,0,0
CHIP_00422,high_frequency_computing,0.006,0.0,0,0
CHIP_00423,high_frequency_computing,0.014,0.0,0,0
CHIP_00424,high_frequency_computing,0.983,0.0,0,0
CHIP_00425,high_frequency_computing,0.005,0.0,0,0
CHIP_00426,high_frequency_computing,0.016,1.0,1,1
CHIP_00427,high_frequency_computing,0.043,1.0,0,0
CHIP_00428,high_frequency_computing,0.004,0.0,0,0
CHIP_00429,high_frequency_computing,0.611,0.0,0,0
CHIP_00430,high_frequency_computing,0.008,0.0,0,0
CHIP_00431,high_frequency_computing,0.008,0.83,0,0
CHIP_00432,high_frequency_computing,0.008,0.0,0,0
CHIP_00433,high_frequency_computing,0.012,0.0,0,0
CHIP_00434,high_frequency_computing,0.016,1.0,1,1
CHIP_00435,high_frequency_computing,0.005,0.0,0,0
CHIP_00436,high_frequency_computing,0.014,0.0,0,0
CHIP_00437,high_frequency_computing,0.004,0.0,0,0
CHIP_00438,high_frequency_computing,0.003,0.0,0,0
CHIP_00439,high_frequency_computing,0.078,1.0,0,1
CHIP_00440,high_frequency_computing,0.005,0.0,0,0
CHIP_00441,high_frequency_computing,0.003,0.0,0,0
CHIP_00442,high_frequency_computing,0.012,0.0,0,0
CHIP_00443,high_frequency_computing,0.018,1.0,1,1
CHIP_00444,high_frequency_computing,0.006,0.0,0,0
CHIP_00445,high_frequency_computing,0.125,0.0,0,0
CHIP_00446,high_frequency_computing,0.023,1.0,0,1
CHIP_00447,high_frequency_computing,0.005,0.0,0,0
CHIP_00448,high_frequency_computing,0.019,1.0,1,1
CHIP_00449,high_frequency_computing,0.011,1.0,1,1
CHIP_00450,high_frequency_computing,0.006,0.0,0,0
CHIP_00451,high_frequency_computing,0.094,0.0,0,0
CHIP_00452,high_frequency_computing,0.021,1.0,0,1
CHIP_00453,high_frequency_computing,0.025,1.0,0,1
CHIP_00454,high_frequency_computing,0.613,0.0,0,0
CHIP_00455,high_frequency_computing,0.022,0.0,0,0
CHIP_00456,high_frequency_computing,0.022,1.0,0,1
CHIP_00457,high_frequency_computing,0.006,0.0,0,0
CHIP_00458,high_frequency_computing,0.005,0.987,1,1
CHIP_00459,high_frequency_computing,0.004,0.0,0,0
CHIP_00460,high_frequency_computing,0.009,1.0,1,1
CHIP_00461,high_frequency_computing,0.005,0.0,0,0
CHIP_00462,high_frequency_computing,0.003,0.0,0,0
CHIP_00463,high_frequency_computing,0.009,0.0,0,0
CHIP_00464,high_frequency_computing,0.012,0.0,0,0
CHIP_00465,high_frequency_computing,0.003,0.0,0,0
CHIP_00466,high_frequency_computing,0.007,0.0,0,0
CHIP_00467,high_frequency_computing,0.6,1.0,0,0
CHIP_00468,high_frequency_computing,0.097,1.0,0,1
CHIP_00469,high_frequency_computing,0.051,0.0,0,0
CHIP_00470,high_frequency_computing,0.379,1.0,0,0
CHIP_00471,high_frequency_computing,0.033,0.0,0,0
CHIP_00472,high_frequency_computing,0.005,0.0,0,0
CHIP_00473,high_frequency_computing,0.007,0.0,0,0
CHIP_00474,high_frequency_computing,0.005,0.008,0,0
CHIP_00475,high_frequency_computing,0.061,0.0,0,0
CHIP_00476,high_frequency_computing,0.015,0.999,1,1
CHIP_00477,high_frequency_computing,0.005,0.0,0,0
CHIP_00478,high_frequency_computing,0.008,0.0,0,0
CHIP_00479,high_frequency_computing,0.023,1.0,0,0
