chip_id,application_scenario,compatibility_score,compatibility_level
CHIP_00079,high_frequency_computing,46.5,incompatible
CHIP_00080,high_frequency_computing,75.67,compatible
CHIP_00081,high_frequency_computing,54.74,marginal
CHIP_00082,high_frequency_computing,57.54,marginal
CHIP_00083,high_frequency_computing,58.38,marginal
CHIP_00084,high_frequency_computing,41.64,incompatible
CHIP_00085,high_frequency_computing,65.29,marginal
CHIP_00086,high_frequency_computing,59.54,marginal
CHIP_00087,high_frequency_computing,59.7,marginal
CHIP_00088,high_frequency_computing,61.85,marginal
CHIP_00089,high_frequency_computing,70.21,compatible
CHIP_00090,high_frequency_computing,75.02,compatible
CHIP_00091,high_frequency_computing,67.05,marginal
CHIP_00092,high_frequency_computing,49.01,incompatible
CHIP_00093,high_frequency_computing,67.24,marginal
CHIP_00094,high_frequency_computing,35.28,incompatible
CHIP_00095,high_frequency_computing,31.94,incompatible
CHIP_00096,high_frequency_computing,35.24,incompatible
CHIP_00097,high_frequency_computing,52.23,marginal
CHIP_00098,high_frequency_computing,75.05,compatible
CHIP_00099,high_frequency_computing,52.68,marginal
CHIP_00100,high_frequency_computing,56.98,marginal
CHIP_00101,high_frequency_computing,88.3,compatible
CHIP_00102,high_frequency_computing,59.54,marginal
CHIP_00103,high_frequency_computing,79.85,compatible
CHIP_00104,high_frequency_computing,41.06,incompatible
CHIP_00105,high_frequency_computing,63.11,marginal
CHIP_00106,high_frequency_computing,54.24,marginal
CHIP_00107,high_frequency_computing,49.32,incompatible
CHIP_00108,high_frequency_computing,79.12,compatible
CHIP_00109,high_frequency_computing,21.79,incompatible
CHIP_00110,high_frequency_computing,72.98,compatible
CHIP_00111,high_frequency_computing,64.2,marginal
CHIP_00112,high_frequency_computing,47.95,incompatible
CHIP_00113,high_frequency_computing,27.84,incompatible
CHIP_00114,high_frequency_computing,59.16,marginal
CHIP_00115,high_frequency_computing,47.44,incompatible
CHIP_00116,high_frequency_computing,72.1,compatible
CHIP_00117,high_frequency_computing,68.69,marginal
CHIP_00118,high_frequency_computing,86.83,compatible
CHIP_00119,high_frequency_computing,52.35,marginal
CHIP_00120,high_frequency_computing,35.74,incompatible
CHIP_00121,high_frequency_computing,68.17,marginal
CHIP_00122,high_frequency_computing,65.74,marginal
CHIP_00123,high_frequency_computing,81.17,compatible
CHIP_00124,high_frequency_computing,75.45,compatible
CHIP_00125,high_frequency_computing,66.81,marginal
CHIP_00126,high_frequency_computing,85.28,compatible
CHIP_00127,high_frequency_computing,44.45,incompatible
CHIP_00128,high_frequency_computing,58.48,marginal
CHIP_00129,high_frequency_computing,47.26,incompatible
CHIP_00130,high_frequency_computing,68.51,marginal
CHIP_00131,high_frequency_computing,35.61,incompatible
CHIP_00132,high_frequency_computing,80.15,compatible
CHIP_00133,high_frequency_computing,52.49,marginal
CHIP_00134,high_frequency_computing,28.04,incompatible
CHIP_00135,high_frequency_computing,34.04,incompatible
CHIP_00136,high_frequency_computing,58.43,marginal
CHIP_00137,high_frequency_computing,86.09,compatible
CHIP_00138,high_frequency_computing,100.0,compatible
CHIP_00139,high_frequency_computing,100.0,compatible
CHIP_00140,high_frequency_computing,58.87,marginal
CHIP_00141,high_frequency_computing,37.19,incompatible
CHIP_00142,high_frequency_computing,19.99,incompatible
CHIP_00143,high_frequency_computing,76.04,compatible
CHIP_00144,high_frequency_computing,46.37,incompatible
CHIP_00145,high_frequency_computing,52.51,marginal
CHIP_00146,high_frequency_computing,44.35,incompatible
CHIP_00147,high_frequency_computing,53.66,marginal
CHIP_00148,high_frequency_computing,79.25,compatible
CHIP_00149,high_frequency_computing,72.94,compatible
CHIP_00150,high_frequency_computing,62.9,marginal
CHIP_00151,high_frequency_computing,44.55,incompatible
CHIP_00152,high_frequency_computing,41.63,incompatible
CHIP_00153,high_frequency_computing,44.26,incompatible
CHIP_00154,high_frequency_computing,67.57,marginal
CHIP_00155,high_frequency_computing,88.32,compatible
CHIP_00156,high_frequency_computing,62.13,marginal
CHIP_00157,high_frequency_computing,87.24,compatible
CHIP_00158,high_frequency_computing,59.16,marginal
CHIP_00159,high_frequency_computing,51.65,marginal
CHIP_00160,high_frequency_computing,46.48,incompatible
CHIP_00161,high_frequency_computing,49.13,incompatible
CHIP_00162,high_frequency_computing,96.19,compatible
CHIP_00163,high_frequency_computing,52.13,marginal
CHIP_00164,high_frequency_computing,80.93,compatible
CHIP_00165,high_frequency_computing,55.5,marginal
CHIP_00166,high_frequency_computing,79.2,compatible
CHIP_00167,high_frequency_computing,82.44,compatible
CHIP_00168,high_frequency_computing,44.78,incompatible
CHIP_00169,high_frequency_computing,60.64,marginal
CHIP_00170,high_frequency_computing,63.75,marginal
CHIP_00171,high_frequency_computing,77.57,compatible
CHIP_00172,high_frequency_computing,58.64,marginal
CHIP_00173,high_frequency_computing,46.66,incompatible
CHIP_00174,high_frequency_computing,41.88,incompatible
CHIP_00175,high_frequency_computing,69.13,marginal
CHIP_00176,high_frequency_computing,93.56,compatible
CHIP_00177,high_frequency_computing,73.35,compatible
CHIP_00178,high_frequency_computing,55.23,marginal
CHIP_00179,high_frequency_computing,63.3,marginal
CHIP_00180,high_frequency_computing,86.41,compatible
CHIP_00181,high_frequency_computing,68.53,marginal
CHIP_00182,high_frequency_computing,66.15,marginal
CHIP_00183,high_frequency_computing,83.38,compatible
CHIP_00184,high_frequency_computing,71.34,compatible
CHIP_00185,high_frequency_computing,93.74,compatible
CHIP_00186,high_frequency_computing,68.73,marginal
CHIP_00187,high_frequency_computing,39.5,incompatible
CHIP_00188,high_frequency_computing,45.75,incompatible
CHIP_00189,high_frequency_computing,85.96,compatible
CHIP_00190,high_frequency_computing,93.64,compatible
CHIP_00191,high_frequency_computing,46.53,incompatible
CHIP_00192,high_frequency_computing,56.58,marginal
CHIP_00193,high_frequency_computing,75.39,compatible
CHIP_00194,high_frequency_computing,37.51,incompatible
CHIP_00195,high_frequency_computing,46.14,incompatible
CHIP_00196,high_frequency_computing,81.24,compatible
CHIP_00197,high_frequency_computing,58.39,marginal
CHIP_00198,high_frequency_computing,57.54,marginal
CHIP_00199,high_frequency_computing,59.95,marginal
CHIP_00200,high_frequency_computing,71.72,compatible
CHIP_00201,high_frequency_computing,80.53,compatible
CHIP_00202,high_frequency_computing,69.24,marginal
CHIP_00203,high_frequency_computing,67.63,marginal
CHIP_00204,high_frequency_computing,29.31,incompatible
CHIP_00205,high_frequency_computing,55.4,marginal
CHIP_00206,high_frequency_computing,47.63,incompatible
CHIP_00207,high_frequency_computing,27.82,incompatible
CHIP_00208,high_frequency_computing,43.97,incompatible
CHIP_00209,high_frequency_computing,54.84,marginal
CHIP_00210,high_frequency_computing,81.26,compatible
CHIP_00211,high_frequency_computing,26.24,incompatible
CHIP_00212,high_frequency_computing,70.22,compatible
CHIP_00213,high_frequency_computing,49.85,incompatible
CHIP_00214,high_frequency_computing,57.23,marginal
CHIP_00215,high_frequency_computing,91.39,compatible
CHIP_00216,high_frequency_computing,80.14,compatible
CHIP_00217,high_frequency_computing,85.4,compatible
CHIP_00218,high_frequency_computing,56.98,marginal
CHIP_00219,high_frequency_computing,47.64,incompatible
CHIP_00220,high_frequency_computing,48.4,incompatible
CHIP_00221,high_frequency_computing,64.08,marginal
CHIP_00222,high_frequency_computing,72.18,compatible
CHIP_00223,high_frequency_computing,37.7,incompatible
CHIP_00224,high_frequency_computing,65.21,marginal
CHIP_00225,high_frequency_computing,70.47,compatible
CHIP_00226,high_frequency_computing,100.0,compatible
CHIP_00227,high_frequency_computing,99.84,compatible
CHIP_00228,high_frequency_computing,46.25,incompatible
CHIP_00229,high_frequency_computing,56.85,marginal
CHIP_00230,high_frequency_computing,30.83,incompatible
CHIP_00231,high_frequency_computing,48.56,incompatible
CHIP_00232,high_frequency_computing,73.39,compatible
CHIP_00233,high_frequency_computing,84.71,compatible
CHIP_00234,high_frequency_computing,59.07,marginal
CHIP_00235,high_frequency_computing,42.79,incompatible
CHIP_00236,high_frequency_computing,20.62,incompatible
CHIP_00237,high_frequency_computing,56.21,marginal
CHIP_00238,high_frequency_computing,59.13,marginal
CHIP_00239,high_frequency_computing,54.05,marginal
CHIP_00240,high_frequency_computing,48.83,incompatible
CHIP_00241,high_frequency_computing,54.69,marginal
CHIP_00242,high_frequency_computing,32.4,incompatible
CHIP_00243,high_frequency_computing,35.93,incompatible
CHIP_00244,high_frequency_computing,95.13,compatible
CHIP_00245,high_frequency_computing,39.51,incompatible
CHIP_00246,high_frequency_computing,45.0,incompatible
CHIP_00247,high_frequency_computing,94.67,compatible
CHIP_00248,high_frequency_computing,100.0,compatible
CHIP_00249,high_frequency_computing,38.0,incompatible
CHIP_00250,high_frequency_computing,50.21,marginal
CHIP_00251,high_frequency_computing,68.04,marginal
CHIP_00252,high_frequency_computing,83.33,compatible
CHIP_00253,high_frequency_computing,57.24,marginal
CHIP_00254,high_frequency_computing,46.13,incompatible
CHIP_00255,high_frequency_computing,63.26,marginal
CHIP_00256,high_frequency_computing,67.61,marginal
CHIP_00257,high_frequency_computing,49.12,incompatible
CHIP_00258,high_frequency_computing,59.21,marginal
CHIP_00259,high_frequency_computing,37.39,incompatible
CHIP_00260,high_frequency_computing,61.31,marginal
CHIP_00261,high_frequency_computing,59.91,marginal
CHIP_00262,high_frequency_computing,64.84,marginal
CHIP_00263,high_frequency_computing,54.15,marginal
CHIP_00264,high_frequency_computing,62.87,marginal
CHIP_00265,high_frequency_computing,85.83,compatible
CHIP_00266,high_frequency_computing,75.88,compatible
CHIP_00267,high_frequency_computing,60.97,marginal
CHIP_00268,high_frequency_computing,69.73,marginal
CHIP_00269,high_frequency_computing,68.24,marginal
CHIP_00270,high_frequency_computing,46.29,incompatible
CHIP_00271,high_frequency_computing,62.36,marginal
CHIP_00272,high_frequency_computing,73.49,compatible
CHIP_00273,high_frequency_computing,100.0,compatible
CHIP_00274,high_frequency_computing,100.0,compatible
CHIP_00275,high_frequency_computing,63.95,marginal
CHIP_00276,high_frequency_computing,44.75,incompatible
CHIP_00277,high_frequency_computing,52.88,marginal
CHIP_00278,high_frequency_computing,80.15,compatible
CHIP_00279,high_frequency_computing,65.36,marginal
CHIP_00280,high_frequency_computing,75.52,compatible
CHIP_00281,high_frequency_computing,48.28,incompatible
CHIP_00282,high_frequency_computing,88.06,compatible
CHIP_00283,high_frequency_computing,72.33,compatible
CHIP_00284,high_frequency_computing,33.55,incompatible
CHIP_00285,high_frequency_computing,54.47,marginal
CHIP_00286,high_frequency_computing,72.94,compatible
CHIP_00287,high_frequency_computing,58.63,marginal
CHIP_00288,high_frequency_computing,66.09,marginal
CHIP_00289,high_frequency_computing,54.31,marginal
CHIP_00290,high_frequency_computing,57.44,marginal
CHIP_00291,high_frequency_computing,69.63,marginal
CHIP_00292,high_frequency_computing,85.63,compatible
CHIP_00293,high_frequency_computing,8.77,incompatible
CHIP_00294,high_frequency_computing,37.51,incompatible
CHIP_00295,high_frequency_computing,69.98,marginal
CHIP_00296,high_frequency_computing,71.31,compatible
CHIP_00297,high_frequency_computing,51.32,marginal
CHIP_00298,high_frequency_computing,24.72,incompatible
CHIP_00299,high_frequency_computing,85.17,compatible
CHIP_00300,high_frequency_computing,95.3,compatible
CHIP_00301,high_frequency_computing,40.21,incompatible
CHIP_00302,high_frequency_computing,92.85,compatible
CHIP_00303,high_frequency_computing,62.04,marginal
CHIP_00304,high_frequency_computing,66.17,marginal
CHIP_00305,high_frequency_computing,45.73,incompatible
CHIP_00306,high_frequency_computing,49.61,incompatible
CHIP_00307,high_frequency_computing,82.52,compatible
CHIP_00308,high_frequency_computing,69.28,marginal
CHIP_00309,high_frequency_computing,90.59,compatible
CHIP_00310,high_frequency_computing,85.75,compatible
CHIP_00311,high_frequency_computing,70.23,compatible
CHIP_00312,high_frequency_computing,91.85,compatible
CHIP_00313,high_frequency_computing,65.34,marginal
CHIP_00314,high_frequency_computing,81.53,compatible
CHIP_00315,high_frequency_computing,60.47,marginal
CHIP_00316,high_frequency_computing,59.54,marginal
CHIP_00317,high_frequency_computing,48.56,incompatible
CHIP_00318,high_frequency_computing,71.63,compatible
CHIP_00319,high_frequency_computing,43.65,incompatible
CHIP_00320,high_frequency_computing,76.3,compatible
CHIP_00321,high_frequency_computing,55.61,marginal
CHIP_00322,high_frequency_computing,90.66,compatible
CHIP_00323,high_frequency_computing,76.58,compatible
CHIP_00324,high_frequency_computing,91.44,compatible
CHIP_00325,high_frequency_computing,84.14,compatible
CHIP_00326,high_frequency_computing,17.32,incompatible
CHIP_00327,high_frequency_computing,62.89,marginal
CHIP_00328,high_frequency_computing,33.75,incompatible
CHIP_00329,high_frequency_computing,53.14,marginal
CHIP_00330,high_frequency_computing,90.0,compatible
CHIP_00331,high_frequency_computing,80.82,compatible
CHIP_00332,high_frequency_computing,41.26,incompatible
CHIP_00333,high_frequency_computing,45.02,incompatible
CHIP_00334,high_frequency_computing,64.48,marginal
CHIP_00335,high_frequency_computing,26.55,incompatible
CHIP_00336,high_frequency_computing,50.58,marginal
CHIP_00337,high_frequency_computing,72.52,compatible
CHIP_00338,high_frequency_computing,88.1,compatible
CHIP_00339,high_frequency_computing,63.02,marginal
CHIP_00340,high_frequency_computing,24.73,incompatible
CHIP_00341,high_frequency_computing,56.27,marginal
CHIP_00342,high_frequency_computing,65.06,marginal
CHIP_00343,high_frequency_computing,70.75,compatible
CHIP_00344,high_frequency_computing,91.9,compatible
CHIP_00345,high_frequency_computing,10.56,incompatible
CHIP_00346,high_frequency_computing,65.07,marginal
CHIP_00347,high_frequency_computing,73.84,compatible
CHIP_00348,high_frequency_computing,36.58,incompatible
CHIP_00349,high_frequency_computing,90.87,compatible
CHIP_00350,high_frequency_computing,69.25,marginal
CHIP_00351,high_frequency_computing,76.51,compatible
CHIP_00352,high_frequency_computing,49.34,incompatible
CHIP_00353,high_frequency_computing,79.7,compatible
CHIP_00354,high_frequency_computing,92.32,compatible
CHIP_00355,high_frequency_computing,65.08,marginal
CHIP_00356,high_frequency_computing,66.7,marginal
CHIP_00357,high_frequency_computing,72.27,compatible
CHIP_00358,high_frequency_computing,35.37,incompatible
CHIP_00359,high_frequency_computing,49.09,incompatible
CHIP_00360,high_frequency_computing,58.75,marginal
CHIP_00361,high_frequency_computing,66.93,marginal
CHIP_00362,high_frequency_computing,85.6,compatible
CHIP_00363,high_frequency_computing,42.27,incompatible
CHIP_00364,high_frequency_computing,47.94,incompatible
CHIP_00365,high_frequency_computing,81.9,compatible
CHIP_00366,high_frequency_computing,45.16,incompatible
CHIP_00367,high_frequency_computing,50.34,marginal
CHIP_00368,high_frequency_computing,64.83,marginal
CHIP_00369,high_frequency_computing,73.61,compatible
CHIP_00370,high_frequency_computing,60.32,marginal
CHIP_00371,high_frequency_computing,90.29,compatible
CHIP_00372,high_frequency_computing,69.66,marginal
CHIP_00373,high_frequency_computing,86.59,compatible
CHIP_00374,high_frequency_computing,79.22,compatible
CHIP_00375,high_frequency_computing,100.0,compatible
CHIP_00376,high_frequency_computing,64.29,marginal
CHIP_00377,high_frequency_computing,21.78,incompatible
CHIP_00378,high_frequency_computing,86.31,compatible
CHIP_00379,high_frequency_computing,51.8,marginal
CHIP_00380,high_frequency_computing,65.45,marginal
CHIP_00381,high_frequency_computing,90.05,compatible
CHIP_00382,high_frequency_computing,41.66,incompatible
CHIP_00383,high_frequency_computing,27.52,incompatible
CHIP_00384,high_frequency_computing,29.63,incompatible
CHIP_00385,high_frequency_computing,41.95,incompatible
CHIP_00386,high_frequency_computing,79.12,compatible
CHIP_00387,high_frequency_computing,72.52,compatible
CHIP_00388,high_frequency_computing,74.78,compatible
CHIP_00389,high_frequency_computing,36.65,incompatible
CHIP_00390,high_frequency_computing,19.48,incompatible
CHIP_00391,high_frequency_computing,64.54,marginal
CHIP_00392,high_frequency_computing,65.37,marginal
CHIP_00393,high_frequency_computing,58.13,marginal
CHIP_00394,high_frequency_computing,72.68,compatible
CHIP_00395,high_frequency_computing,61.04,marginal
CHIP_00396,high_frequency_computing,80.9,compatible
CHIP_00397,high_frequency_computing,80.74,compatible
CHIP_00398,high_frequency_computing,67.5,marginal
CHIP_00399,high_frequency_computing,59.02,marginal
CHIP_00400,high_frequency_computing,55.86,marginal
CHIP_00401,high_frequency_computing,62.58,marginal
CHIP_00402,high_frequency_computing,72.22,compatible
CHIP_00403,high_frequency_computing,49.76,incompatible
CHIP_00404,high_frequency_computing,62.23,marginal
CHIP_00405,high_frequency_computing,52.94,marginal
CHIP_00406,high_frequency_computing,52.1,marginal
CHIP_00407,high_frequency_computing,78.17,compatible
CHIP_00408,high_frequency_computing,35.25,incompatible
CHIP_00409,high_frequency_computing,41.09,incompatible
CHIP_00410,high_frequency_computing,39.8,incompatible
CHIP_00411,high_frequency_computing,19.74,incompatible
CHIP_00412,high_frequency_computing,60.13,marginal
CHIP_00413,high_frequency_computing,70.52,compatible
CHIP_00414,high_frequency_computing,48.89,incompatible
CHIP_00415,high_frequency_computing,58.86,marginal
CHIP_00416,high_frequency_computing,71.26,compatible
CHIP_00417,high_frequency_computing,97.05,compatible
CHIP_00418,high_frequency_computing,69.01,marginal
CHIP_00419,high_frequency_computing,70.98,compatible
CHIP_00420,high_frequency_computing,58.23,marginal
CHIP_00421,high_frequency_computing,44.33,incompatible
CHIP_00422,high_frequency_computing,53.39,marginal
CHIP_00423,high_frequency_computing,35.72,incompatible
CHIP_00424,high_frequency_computing,56.65,marginal
CHIP_00425,high_frequency_computing,64.62,marginal
CHIP_00426,high_frequency_computing,77.89,compatible
CHIP_00427,high_frequency_computing,100.0,compatible
CHIP_00428,high_frequency_computing,44.08,incompatible
CHIP_00429,high_frequency_computing,58.25,marginal
CHIP_00430,high_frequency_computing,47.0,incompatible
CHIP_00431,high_frequency_computing,69.88,marginal
CHIP_00432,high_frequency_computing,58.81,marginal
CHIP_00433,high_frequency_computing,25.14,incompatible
CHIP_00434,high_frequency_computing,77.06,compatible
CHIP_00435,high_frequency_computing,46.22,incompatible
CHIP_00436,high_frequency_computing,51.04,marginal
CHIP_00437,high_frequency_computing,52.92,marginal
CHIP_00438,high_frequency_computing,51.15,marginal
CHIP_00439,high_frequency_computing,73.39,compatible
CHIP_00440,high_frequency_computing,57.08,marginal
CHIP_00441,high_frequency_computing,62.82,marginal
CHIP_00442,high_frequency_computing,59.32,marginal
CHIP_00443,high_frequency_computing,83.63,compatible
CHIP_00444,high_frequency_computing,52.54,marginal
CHIP_00445,high_frequency_computing,32.9,incompatible
CHIP_00446,high_frequency_computing,95.92,compatible
CHIP_00447,high_frequency_computing,51.05,marginal
CHIP_00448,high_frequency_computing,76.67,compatible
CHIP_00449,high_frequency_computing,82.21,compatible
CHIP_00450,high_frequency_computing,58.66,marginal
CHIP_00451,high_frequency_computing,62.59,marginal
CHIP_00452,high_frequency_computing,89.95,compatible
CHIP_00453,high_frequency_computing,97.44,compatible
CHIP_00454,high_frequency_computing,61.74,marginal
CHIP_00455,high_frequency_computing,63.53,marginal
CHIP_00456,high_frequency_computing,84.15,compatible
CHIP_00457,high_frequency_computing,49.66,incompatible
CHIP_00458,high_frequency_computing,71.46,compatible
CHIP_00459,high_frequency_computing,56.89,marginal
CHIP_00460,high_frequency_computing,80.69,compatible
CHIP_00461,high_frequency_computing,45.8,incompatible
CHIP_00462,high_frequency_computing,36.95,incompatible
CHIP_00463,high_frequency_computing,18.41,incompatible
CHIP_00464,high_frequency_computing,46.91,incompatible
CHIP_00465,high_frequency_computing,47.48,incompatible
CHIP_00466,high_frequency_computing,56.57,marginal
CHIP_00467,high_frequency_computing,98.53,compatible
CHIP_00468,high_frequency_computing,91.58,compatible
CHIP_00469,high_frequency_computing,41.2,incompatible
CHIP_00470,high_frequency_computing,84.45,compatible
CHIP_00471,high_frequency_computing,58.3,marginal
CHIP_00472,high_frequency_computing,64.96,marginal
CHIP_00473,high_frequency_computing,60.12,marginal
CHIP_00474,high_frequency_computing,68.91,marginal
CHIP_00475,high_frequency_computing,55.51,marginal
CHIP_00476,high_frequency_computing,74.38,compatible
CHIP_00477,high_frequency_computing,45.31,incompatible
CHIP_00478,high_frequency_computing,58.27,marginal
CHIP_00479,high_frequency_computing,100.0,compatible
CHIP_00480,high_frequency_computing,61.79,marginal
CHIP_00481,high_frequency_computing,82.36,compatible
CHIP_00482,high_frequency_computing,52.47,marginal
CHIP_00483,high_frequency_computing,73.17,compatible
CHIP_00484,high_frequency_computing,56.59,marginal
CHIP_00485,high_frequency_computing,57.14,marginal
CHIP_00486,high_frequency_computing,51.12,marginal
CHIP_00487,high_frequency_computing,66.51,marginal
CHIP_00488,high_frequency_computing,50.02,marginal
CHIP_00489,high_frequency_computing,90.68,compatible
CHIP_00490,high_frequency_computing,72.23,compatible
CHIP_00491,high_frequency_computing,74.34,compatible
CHIP_00492,high_frequency_computing,58.44,marginal
CHIP_00493,high_frequency_computing,72.42,compatible
CHIP_00494,high_frequency_computing,62.63,marginal
CHIP_00495,high_frequency_computing,77.28,compatible
CHIP_00496,high_frequency_computing,31.78,incompatible
CHIP_00497,high_frequency_computing,60.1,marginal
CHIP_00498,high_frequency_computing,25.18,incompatible
CHIP_00499,high_frequency_computing,36.53,incompatible
CHIP_00500,high_frequency_computing,82.93,compatible
CHIP_00501,high_frequency_computing,88.79,compatible
CHIP_00502,high_frequency_computing,55.19,marginal
CHIP_00503,high_frequency_computing,32.2,incompatible
CHIP_00504,high_frequency_computing,19.41,incompatible
CHIP_00505,high_frequency_computing,55.42,marginal
CHIP_00506,high_frequency_computing,100.0,compatible
CHIP_00507,high_frequency_computing,67.07,marginal
CHIP_00508,high_frequency_computing,57.67,marginal
CHIP_00509,high_frequency_computing,66.87,marginal
CHIP_00510,high_frequency_computing,43.34,incompatible
CHIP_00511,high_frequency_computing,50.69,marginal
CHIP_00512,high_frequency_computing,59.88,marginal
CHIP_00513,high_frequency_computing,66.81,marginal
CHIP_00514,high_frequency_computing,85.86,compatible
CHIP_00515,high_frequency_computing,66.97,marginal
CHIP_00516,high_frequency_computing,67.65,marginal
CHIP_00517,high_frequency_computing,61.87,marginal
CHIP_00518,high_frequency_computing,69.46,marginal
CHIP_00519,high_frequency_computing,79.61,compatible
CHIP_00520,high_frequency_computing,53.69,marginal
CHIP_00521,high_frequency_computing,36.33,incompatible
CHIP_00522,high_frequency_computing,88.17,compatible
CHIP_00523,high_frequency_computing,58.18,marginal
CHIP_00524,high_frequency_computing,89.43,compatible
CHIP_00525,high_frequency_computing,49.85,incompatible
CHIP_00526,high_frequency_computing,83.49,compatible
CHIP_00527,high_frequency_computing,55.82,marginal
CHIP_00528,high_frequency_computing,57.57,marginal
CHIP_00529,high_frequency_computing,87.5,compatible
CHIP_00530,high_frequency_computing,36.76,incompatible
CHIP_00531,high_frequency_computing,39.25,incompatible
CHIP_00532,high_frequency_computing,52.42,marginal
CHIP_00533,high_frequency_computing,77.06,compatible
CHIP_00534,high_frequency_computing,45.44,incompatible
CHIP_00535,high_frequency_computing,82.49,compatible
CHIP_00536,high_frequency_computing,58.58,marginal
CHIP_00537,high_frequency_computing,74.5,compatible
CHIP_00538,high_frequency_computing,18.51,incompatible
CHIP_00539,high_frequency_computing,52.76,marginal
CHIP_00540,high_frequency_computing,31.26,incompatible
CHIP_00541,high_frequency_computing,45.34,incompatible
CHIP_00542,high_frequency_computing,65.49,marginal
CHIP_00543,high_frequency_computing,62.79,marginal
CHIP_00544,high_frequency_computing,56.29,marginal
CHIP_00545,high_frequency_computing,64.19,marginal
CHIP_00546,high_frequency_computing,73.61,compatible
CHIP_00547,high_frequency_computing,39.12,incompatible
CHIP_00548,high_frequency_computing,76.13,compatible
CHIP_00549,high_frequency_computing,83.58,compatible
CHIP_00550,high_frequency_computing,64.91,marginal
CHIP_00551,high_frequency_computing,73.64,compatible
