chip_id,production_date,storage_start,storage_end,deployment_start,deployment_end,storage_days,deployment_days,total_lifetime_days,production_cost_yuan,testing_cost_yuan,storage_cost_yuan,deployment_cost_yuan,repair_cost_yuan,recycling_value_yuan,storage_condition,deployment_condition,final_status,total_cost_yuan,revenue_generated_yuan,roi_percent
CHIP_00015,2024-02-06,2024-02-06,2024-07-04,2024-07-04,2025-11-26,149,510,659,596.9998200266996,297.19255205525036,49.89283738438761,903.2053032573997,592.3833341927103,149.51264801301937,poor,fair,repaired_and_running,2439.6738469164475,3368.5583230109983,38.07412524705245
CHIP_00016,2024-12-27,2024-12-27,2025-05-05,2025-05-05,2026-02-02,129,273,402,668.7220150151591,452.53330486828906,49.157959492602046,317.70607377545866,170.14563972671203,81.33435836896675,excellent,poor,still_running,1658.2649928782207,4858.376590172425,192.97950635379618
CHIP_00017,2024-01-10,2024-01-10,2024-10-15,2024-10-15,2025-08-07,279,296,575,857.8337717150227,217.6142327125253,136.27773955191287,844.0747926781702,898.2065875818886,322.1397048794476,excellent,poor,failed_rejected,2954.0071242395197,1240.01399509996,-58.02264710450928
CHIP_00018,2024-11-12,2024-11-12,2025-05-31,2025-05-31,2027-04-10,200,679,879,1006.0040099716639,209.46038913337128,59.955375259398245,561.1843948236378,265.3162281566935,136.66975495285448,excellent,fair,still_running,2101.9203973447648,4308.667767924604,104.98719996092605
CHIP_00019,2024-10-10,2024-10-10,2025-09-18,2025-09-18,2026-04-27,343,221,564,656.8935525628751,281.136048813166,96.77968281503412,825.5321956941556,603.9314536145437,273.0280099908624,excellent,excellent,repaired_and_running,2464.272933499775,2005.2476684916041,-18.62720881149558
CHIP_00020,2024-11-04,2024-11-04,2025-07-12,2025-07-12,2027-06-19,250,707,957,793.8160988541052,373.68236615184196,74.81371517537268,818.9861330528298,685.8928716779473,406.2012129819358,fair,excellent,failed_rejected,2747.191184912097,2473.102725958986,-9.977043478387587
CHIP_00021,2024-02-12,2024-02-12,2024-11-22,2024-11-22,2025-11-19,284,362,646,1324.0529992609527,239.2579020519801,31.443082212791307,762.0862025277083,274.0720812391437,432.05828587390994,excellent,poor,still_running,2630.912267292576,2635.135453079836,0.16052172623780672
CHIP_00022,2024-01-21,2024-01-21,2024-05-04,2024-05-04,2025-10-12,104,526,630,1562.2380802896892,384.15520186176167,27.287200839814545,290.22369149608835,281.2940657259805,260.56261493930106,good,good,repaired_and_running,2545.1982402133344,950.2774659772551,-62.663911558511664
CHIP_00023,2024-12-30,2024-12-30,2025-02-24,2025-02-24,2026-07-05,56,496,552,1752.2213368306532,366.33528929253487,9.348814873815526,453.35556817820384,598.6197393477919,220.86225618806705,good,excellent,failed_rejected,3179.8807485229995,2916.0358656900103,-8.29732004747476
CHIP_00024,2024-01-22,2024-01-22,2024-04-19,2024-04-19,2025-09-21,88,520,608,1462.8313502423925,232.8549537740414,16.089033905392483,491.97809580111687,356.44084905714146,174.9354916281343,fair,fair,end_of_life,2560.1942827800844,4052.072135809529,58.272056267910735
CHIP_00025,2024-01-16,2024-01-16,2024-09-13,2024-09-13,2025-04-24,241,223,464,1609.7743569794986,176.06540841927566,100.21878681556286,691.6493315412247,417.87886439340826,148.09596523948278,excellent,poor,repaired_and_running,2995.58674814897,4193.888716361973,40.0022456019161
CHIP_00026,2024-05-11,2024-05-11,2025-04-24,2025-04-24,2026-10-11,348,535,883,1492.8773778479585,340.9485224185273,168.3637560608612,787.3362423953241,732.301967090033,50.12688302597232,excellent,excellent,still_running,3521.827865812704,1824.0194312656283,-48.208160626705876
CHIP_00027,2024-10-05,2024-10-05,2024-12-16,2024-12-16,2026-07-20,72,581,653,718.2682868256492,173.6175581550021,12.18559081253726,836.7081956643881,163.58262598752393,477.5269512076947,good,fair,failed_rejected,1904.3622574451006,816.7553944626059,-57.11134311397414
CHIP_00028,2024-02-15,2024-02-15,2024-09-17,2024-09-17,2025-11-20,215,429,644,1422.933290388732,414.24070373337463,77.11709747964544,267.8552682175302,391.7400948544018,187.63673994306137,poor,fair,failed_rejected,2573.886454673684,1054.0024234415791,-59.05015850533294
CHIP_00029,2024-09-12,2024-09-12,2025-08-08,2025-08-08,2026-10-22,330,440,770,892.9249277856511,205.87513877027118,163.95299449274907,740.7763845521562,537.6049259531874,442.76992861105595,excellent,excellent,failed_rejected,2541.1343715540147,2674.8042680707003,5.260245109940434
CHIP_00030,2024-12-15,2024-12-15,2025-09-11,2025-09-11,2026-11-29,270,444,714,1978.207189367321,397.3575241186168,36.73541049477472,211.86298929632264,921.5532302378772,377.11395969696883,poor,excellent,end_of_life,3545.7163435149123,1754.9036953071814,-50.50637091946493
CHIP_00031,2024-09-06,2024-09-06,2025-07-06,2025-07-06,2027-05-09,303,672,975,1534.7506402294237,141.88971058654198,104.8117912365544,267.0186248500746,938.3828105478502,139.16846600178448,fair,poor,still_running,2986.853577450445,740.2316907605676,-75.21700774523993
CHIP_00032,2024-03-03,2024-03-03,2024-04-18,2024-04-18,2025-09-17,46,517,563,1892.8477630734562,130.86882310824123,13.356280730439194,565.183119500578,123.77548385065718,198.0652805656804,poor,excellent,still_running,2726.031470263372,3927.763101738695,44.08355679618106
CHIP_00033,2024-01-29,2024-01-29,2024-03-10,2024-03-10,2025-11-05,41,605,646,1724.5056817566456,465.04372078821626,14.60377577262364,599.5236503748886,241.2598200506606,131.5700445240012,good,good,failed_rejected,3044.9366487430348,3609.3423862655673,18.53587784020144
CHIP_00034,2024-03-02,2024-03-02,2024-09-10,2024-09-10,2025-03-10,192,181,373,1169.5056318566517,453.3532882459016,95.2551192457133,678.5304405890593,611.3575583253445,269.2970457457467,excellent,excellent,still_running,3008.0020382626703,2515.186782863639,-16.383474782605738
CHIP_00035,2024-04-03,2024-04-03,2024-10-03,2024-10-03,2025-09-06,183,338,521,1605.2755091773142,315.09661294822774,64.1270652848792,229.469272515132,62.994669073661356,408.41768674003185,poor,fair,still_running,2276.9631289992144,796.54030260603,-65.01742639301628
CHIP_00036,2024-01-03,2024-01-03,2024-10-12,2024-10-12,2026-03-30,283,534,817,626.6692219128638,207.74965785799685,61.590138513742716,297.1324657351201,341.32147573389227,166.81524361992888,good,excellent,end_of_life,1534.462959753616,962.2558876558955,-37.29038022459649
CHIP_00037,2024-05-12,2024-05-12,2025-03-30,2025-03-30,2025-11-08,322,223,545,774.8496981037407,353.93673337032357,82.80841536299232,353.3634376248369,411.2820162491857,187.17500280699412,poor,excellent,failed_rejected,1976.2403007110793,3246.2078391192886,64.26179741154236
CHIP_00038,2024-06-07,2024-06-07,2024-10-07,2024-10-07,2025-10-26,122,384,506,696.0345054760423,220.74576347250462,19.356921436052435,496.5500601197833,688.4769199302684,354.4814853691891,good,good,failed_rejected,2121.164170434651,4242.685389480583,100.01683267218337
CHIP_00039,2024-02-23,2024-02-23,2024-10-06,2024-10-06,2026-07-28,226,660,886,999.1204226689194,481.9200591000809,109.5801705903474,380.20309326561767,820.0992796158257,195.1453551498688,good,good,repaired_and_running,2790.923025240791,2363.929274973334,-15.299373949255282
CHIP_00040,2024-11-21,2024-11-21,2025-11-08,2025-11-08,2026-11-17,352,374,726,1405.6288640806265,322.307984311063,104.05776690997861,998.3632208710193,55.75006261783244,430.77783668488235,fair,excellent,failed_rejected,2886.1078987905203,2869.285728017262,-0.5828670085518244
CHIP_00041,2024-05-16,2024-05-16,2025-03-26,2025-03-26,2026-11-08,314,592,906,1902.2490057771245,216.7778071989402,42.25438874929257,275.54702874194453,578.108764975636,238.60395144267994,poor,good,end_of_life,3014.9369954429376,1218.8230356923646,-59.57384723015407
CHIP_00042,2024-12-23,2024-12-23,2025-04-07,2025-04-07,2026-09-06,105,517,622,1852.111177809132,471.3259827699749,15.897647705283845,866.7746182254886,221.88209903697242,69.89517165787026,poor,fair,failed_rejected,3427.991525546852,815.1338163988651,-76.22124178767243
CHIP_00043,2024-11-25,2024-11-25,2025-08-17,2025-08-17,2027-06-20,265,672,937,1547.7548929700083,388.17760610718625,89.60980248018552,807.945895109191,927.5016064305756,463.2383608087483,excellent,fair,end_of_life,3760.9898030971467,4474.0291922200895,18.958822715652147
CHIP_00044,2024-07-31,2024-07-31,2025-02-15,2025-02-15,2026-09-02,199,564,763,1551.4153967002426,449.05855395703156,39.710910778112044,448.22113411687553,202.04438895016085,422.899451765818,good,poor,failed_rejected,2690.4503845024224,2292.954958137959,-14.77430799891808
CHIP_00045,2024-05-27,2024-05-27,2024-10-31,2024-10-31,2026-01-19,157,445,602,1931.8549811761548,496.68839303374995,65.05309181511547,230.96774733839771,594.8272120166919,436.0314628150629,good,poor,failed_rejected,3319.3914253801095,535.0101803070238,-83.8822810646455
CHIP_00046,2024-05-12,2024-05-12,2025-01-06,2025-01-06,2025-08-31,239,237,476,1245.2172751348342,300.095125322114,80.88311924679768,703.887256099784,870.1079542129227,300.107470124222,excellent,poor,repaired_and_running,3200.1907300164526,4449.511103193292,39.038934819063634
CHIP_00047,2024-07-26,2024-07-26,2024-11-16,2024-11-16,2025-11-20,113,369,482,1429.352787888297,438.8612983140523,36.698217966203025,233.1712421936265,344.063202560387,332.507557464019,fair,excellent,repaired_and_running,2482.146748922566,3725.751653838843,50.10198955626185
CHIP_00048,2024-02-04,2024-02-04,2024-09-15,2024-09-15,2026-04-07,224,569,793,1136.9822689119653,467.1492208048874,65.23059962034607,232.49090169342168,845.8381507766736,150.02699792165538,excellent,good,failed_rejected,2747.691141807294,3739.4528964987226,36.094368089678994
CHIP_00049,2024-08-05,2024-08-05,2025-03-24,2025-03-24,2026-03-11,231,352,583,1731.1837513951914,441.1556455650553,112.92268742466784,258.4876641473758,421.2280476550195,240.31841108495314,good,excellent,end_of_life,2964.9777961873097,3929.345021741494,32.5252764723659
CHIP_00050,2024-05-06,2024-05-06,2024-08-02,2024-08-02,2025-09-06,88,400,488,1564.5920869442223,257.9485009006762,36.44311515025634,919.7639694854896,133.55827490234495,71.19769299792523,good,good,repaired_and_running,2912.3059473829894,1694.5277307438018,-41.814913633421256
CHIP_00051,2024-09-02,2024-09-02,2024-10-17,2024-10-17,2026-10-13,45,726,771,1417.7827127852747,115.4259226297555,21.371040925790158,206.61700178471943,468.2120322106547,211.65820103270158,excellent,poor,end_of_life,2229.4087103361944,4231.667474722048,89.81120218570928
CHIP_00052,2024-09-13,2024-09-13,2025-08-07,2025-08-07,2026-06-18,328,315,643,750.5749332253309,339.8493813904641,89.32637082882675,947.6515253253815,267.35920692821304,289.9307359071728,poor,good,still_running,2394.7614176982165,3072.996974953363,28.321633722788516
CHIP_00053,2024-04-11,2024-04-11,2025-04-01,2025-04-01,2026-01-17,355,291,646,1388.4786969847833,328.6438746919059,118.30674844442575,804.591246050172,795.3607771922506,260.8397266646448,fair,excellent,failed_rejected,3435.381343363538,4992.962240275635,45.33938859279854
CHIP_00054,2024-08-22,2024-08-22,2025-07-04,2025-07-04,2026-06-08,316,339,655,1118.6298963029935,363.9274101434535,44.62365356607805,316.318920237084,766.4381472124073,123.76485358481146,good,good,end_of_life,2609.938027462016,1190.6779775944487,-54.379070879613934
CHIP_00055,2024-10-07,2024-10-07,2025-01-10,2025-01-10,2026-01-24,95,379,474,593.06524900828,407.2214839391661,14.832178723212278,758.1065639208848,838.9361522130806,63.484034548660944,fair,good,repaired_and_running,2612.161627804624,1680.5515948317538,-35.664333441565645
CHIP_00056,2024-12-20,2024-12-20,2025-05-31,2025-05-31,2026-05-08,162,342,504,1160.9294648033265,481.90624697338217,51.48590626202015,701.3246499573595,903.9230548863914,208.81133590229246,good,poor,end_of_life,3299.5693228824794,1101.521777369393,-66.61619534009027
CHIP_00057,2024-08-21,2024-08-21,2025-01-08,2025-01-08,2026-11-11,140,672,812,1275.5161029745589,168.9999615992334,30.324840076721717,258.3059924120735,941.1417616493575,239.60115534860154,excellent,poor,repaired_and_running,2674.2886587119447,1656.688696321254,-38.051238750001346
CHIP_00058,2024-08-28,2024-08-28,2025-01-03,2025-01-03,2026-07-09,128,552,680,1327.7318133423962,249.16841896883886,34.50428193696155,598.6678717785935,634.0276206147647,105.22080955809255,poor,excellent,failed_rejected,2844.1000066415545,3029.5763194770243,6.521441313679009
CHIP_00059,2024-01-05,2024-01-05,2024-07-17,2024-07-17,2025-06-22,194,340,534,551.1383404983204,325.21450406238637,70.47607389999284,884.0272634282962,606.2892759709088,88.76594476605979,good,excellent,failed_rejected,2437.1454578599046,548.2180513246645,-77.50573115951548
CHIP_00060,2024-10-05,2024-10-05,2025-06-28,2025-06-28,2026-05-09,266,315,581,648.4174755797992,126.33733333327766,64.18878832147088,924.7765920286608,399.71584594706565,59.9991828516284,poor,fair,repaired_and_running,2163.436035210274,2594.3194448704808,19.91662349371597
CHIP_00061,2024-07-05,2024-07-05,2024-12-12,2024-12-12,2025-09-19,160,281,441,1059.5836244487227,215.57798131813968,61.790329716543496,328.7373082125057,762.0857094877658,265.51960219923274,fair,excellent,failed_rejected,2427.7749531836776,4131.349878625364,70.17021586814268
CHIP_00062,2024-11-06,2024-11-06,2025-09-08,2025-09-08,2027-03-23,306,561,867,794.7559604639532,416.1670669994986,62.06685195273219,913.3378546929035,237.98348588186158,307.449266671102,excellent,good,failed_rejected,2424.311219990949,4410.306019797653,81.9199607472063
CHIP_00063,2024-07-12,2024-07-12,2025-06-19,2025-06-19,2026-04-01,342,286,628,800.8994734967685,337.74302400308443,124.11102889640632,568.4929405990642,621.8049445725112,57.137824204021626,fair,good,repaired_and_running,2453.0514115678347,3365.057649880031,37.17843963691327
CHIP_00064,2024-05-02,2024-05-02,2025-04-26,2025-04-26,2026-07-12,359,442,801,1993.6814892763339,454.8030463232019,115.22762304688975,275.8034312863163,137.38897916663618,445.19338509420004,fair,excellent,failed_rejected,2976.904569099378,706.7378434997536,-76.25930468729915
CHIP_00065,2024-11-28,2024-11-28,2025-08-07,2025-08-07,2027-03-17,252,587,839,1113.0699779832476,428.4615999578414,58.5961734848771,598.0565712317953,681.393275857876,117.11080619047364,poor,excellent,still_running,2879.577598515637,1804.237946805674,-37.3436594403387
CHIP_00066,2024-09-20,2024-09-20,2025-01-26,2025-01-26,2025-11-07,128,285,413,1547.639517800861,345.0387725493234,60.963034264382244,891.0276073204834,352.0535054231744,52.72799356307085,good,good,repaired_and_running,3196.7224373582244,3953.716419664186,23.68031623450995
CHIP_00067,2024-02-02,2024-02-02,2025-01-06,2025-01-06,2026-06-03,339,513,852,923.056611640839,489.7787439147928,146.65642834511578,238.9617755339085,493.06515374569227,127.91974057303003,excellent,poor,end_of_life,2291.5187131803486,1055.195061850453,-53.95215165465655
CHIP_00068,2024-02-01,2024-02-01,2024-05-11,2024-05-11,2025-05-06,100,360,460,605.2105200462422,296.15231269367234,39.68915464948303,497.68518230361457,959.5565135041522,426.9256148107906,good,excellent,repaired_and_running,2398.2936831971647,1481.0009677039852,-38.247722617120715
CHIP_00069,2024-05-07,2024-05-07,2024-10-26,2024-10-26,2025-07-22,172,269,441,1669.1028321073416,297.57455210576,67.17705843078818,719.0682580658572,231.59981824139854,71.18266670509121,excellent,fair,end_of_life,2984.5225189511457,4259.301996810305,42.713012542695
CHIP_00070,2024-10-29,2024-10-29,2025-09-15,2025-09-15,2026-06-16,321,274,595,1060.5915207582343,288.327142438614,88.28683388897791,867.0999749664905,273.38019046317453,408.899417566275,fair,fair,still_running,2577.6856625154915,1578.2529442975408,-38.772482337611024
CHIP_00071,2024-02-01,2024-02-01,2024-12-14,2024-12-14,2026-11-14,317,700,1017,1665.6160557733594,151.68771064084493,92.76418540579378,894.5540896276804,896.028526008907,134.32639152312385,excellent,good,failed_rejected,3700.650567456585,3676.113868850365,-0.6630374351470784
CHIP_00072,2024-03-11,2024-03-11,2025-02-02,2025-02-02,2025-12-25,328,326,654,700.6503114871836,345.80156605684977,102.59055715546525,275.9811452415703,953.0941502390815,289.2289609928393,fair,excellent,failed_rejected,2378.1177301801504,3694.5399992176262,55.35563913977264
CHIP_00073,2024-08-03,2024-08-03,2024-12-02,2024-12-02,2026-04-18,121,502,623,1899.815220522308,455.9994490544979,21.35964507377764,774.2150220865619,976.3448399337987,209.90043720617265,good,poor,repaired_and_running,4127.734176670944,4581.145328781671,10.984504638726696
CHIP_00074,2024-03-28,2024-03-28,2024-08-24,2024-08-24,2026-06-03,149,648,797,1327.475028777796,142.86744019808845,20.58395211012551,727.6244722385103,121.50251834191917,333.1733243711046,good,excellent,still_running,2340.0534116664394,4251.368868335072,81.67828337334888
CHIP_00075,2024-07-09,2024-07-09,2025-03-11,2025-03-11,2027-02-16,245,707,952,631.5366113710138,246.81561238098772,96.48573711511062,267.7967204500858,432.90514664563375,306.9602818470056,good,poor,failed_rejected,1675.5398279628316,1138.5197735486543,-32.050569342007314
CHIP_00076,2024-11-09,2024-11-09,2025-04-14,2025-04-14,2027-03-16,156,701,857,1717.8924633191104,222.28779830740956,33.1361982374969,285.92605495929615,866.0764394946694,115.95993808414786,fair,poor,still_running,3125.318954317983,4861.5593954236465,55.55402397271646
CHIP_00077,2024-05-27,2024-05-27,2025-05-06,2025-05-06,2026-08-10,344,461,805,968.0525331624776,350.69909570461374,127.75165328919093,558.3195535876537,599.7224495076647,294.030005407209,fair,fair,still_running,2604.5452852516005,1718.0225334215709,-34.0375249702902
CHIP_00078,2024-02-17,2024-02-17,2024-08-08,2024-08-08,2025-06-16,173,312,485,1263.4739167608614,444.45770568208707,30.35907218459457,412.5927421634022,520.9251677154682,325.916455923112,good,excellent,failed_rejected,2671.8086045064138,740.0527049999714,-72.30143267928102
CHIP_00079,2024-05-24,2024-05-24,2024-10-03,2024-10-03,2026-07-03,132,638,770,1367.630860726677,384.8235365417599,50.09289505650321,263.47441925688537,930.3358422575993,194.73025064745306,poor,poor,end_of_life,2996.357553839425,4985.003588355947,66.36878272315472
CHIP_00080,2024-11-03,2024-11-03,2024-12-21,2024-12-21,2025-11-15,48,329,377,1309.6077852445374,189.79979690835847,18.64275477644307,748.9570010081925,378.42662038340404,398.27284832470815,excellent,fair,end_of_life,2645.4339583209357,597.2707777223213,-77.42257840746058
CHIP_00081,2024-11-10,2024-11-10,2025-05-12,2025-05-12,2026-05-24,183,377,560,628.1622179627556,137.22302992801804,75.45278082626255,660.8119485769386,507.60786264640655,258.25884960676524,poor,good,still_running,2009.2578399403812,1629.8012111861183,-18.88541237522419
CHIP_00082,2024-12-24,2024-12-24,2025-05-22,2025-05-22,2026-11-20,149,547,696,604.4362761527033,224.30030649743688,73.46590121978866,312.1020049627404,306.11355790061356,259.11542961803445,fair,poor,repaired_and_running,1520.4180467332828,3076.6377216288574,102.35472265270818
CHIP_00083,2024-07-20,2024-07-20,2025-05-28,2025-05-28,2027-01-29,312,611,923,1298.6906838896098,150.43090037106134,78.85629713824503,495.0625358307652,41.20528059030371,92.42397971914656,fair,fair,still_running,2064.2456978199853,3958.584840412246,91.76907306106247
CHIP_00084,2024-07-29,2024-07-29,2025-05-19,2025-05-19,2026-06-30,294,407,701,1205.6627412602375,174.0745314718417,70.12236392696342,983.5439549247129,659.4757790242043,339.43730295485466,poor,good,repaired_and_running,3092.8793706079596,1795.959911907115,-41.932429406256226
CHIP_00085,2024-07-16,2024-07-16,2025-07-11,2025-07-11,2026-09-03,360,419,779,1898.443787471378,419.41014213095025,48.06668124104146,305.256837961138,67.94086386680154,182.64247429574158,fair,excellent,failed_rejected,2739.118312671309,2448.880146677726,-10.596043429410324
CHIP_00086,2024-05-07,2024-05-07,2024-10-02,2024-10-02,2026-08-15,148,682,830,1948.731759625843,309.6772949146806,64.0955201507798,369.54665208061044,234.455570158853,174.1257524516704,good,good,failed_rejected,2926.506796930767,1315.2337998762805,-55.05789355228361
CHIP_00087,2024-07-03,2024-07-03,2024-10-05,2024-10-05,2025-04-11,94,188,282,1968.6518815976017,353.27204227825837,44.451656763664495,980.8848130028296,640.9216987218787,323.6217509857628,fair,fair,end_of_life,3988.182092364233,3136.514345165368,-21.35478590181393
CHIP_00088,2024-07-02,2024-07-02,2024-08-30,2024-08-30,2025-04-23,59,236,295,511.98198190218756,236.37959177195188,27.574917550824775,930.4253993976478,139.26960377860465,471.74231391061517,fair,good,still_running,1845.6314944012167,4201.518609123513,127.64666846382697
CHIP_00089,2024-10-02,2024-10-02,2025-05-30,2025-05-30,2027-01-14,240,594,834,1046.1978538963554,303.91046798058335,65.8503270369732,309.1758411181159,481.78692266925714,321.49542934108695,fair,excellent,failed_rejected,2206.9214127012847,629.6549121783237,-71.4690831964142
CHIP_00090,2024-02-19,2024-02-19,2024-07-08,2024-07-08,2025-07-25,140,382,522,863.7754513572113,301.31871332934475,52.0314576967361,529.1778829811121,797.9572645898959,130.6704810190422,poor,excellent,failed_rejected,2544.2607699543005,2171.341176802033,-14.657286609774909
CHIP_00091,2024-09-06,2024-09-06,2025-03-18,2025-03-18,2026-12-19,193,641,834,1462.130621091187,294.57607226380736,44.45714560660639,820.3645550650559,938.6186935805425,217.44608006497086,fair,good,end_of_life,3560.1470876071994,4947.247981276481,38.96189847036805
CHIP_00092,2024-07-01,2024-07-01,2025-03-17,2025-03-17,2027-02-16,259,701,960,950.242517402666,435.6180645841632,97.25672347539853,757.4056510055842,490.5300308486892,55.703859473486375,excellent,poor,failed_rejected,2731.0529873165015,4663.235350058901,70.74862229754602
CHIP_00093,2024-09-17,2024-09-17,2025-07-19,2025-07-19,2026-02-25,305,221,526,1582.5183459507862,446.8207455325503,101.66540590352315,464.7414000967343,37.588915510542776,92.85388048056048,poor,good,end_of_life,2633.334812994137,3887.396353184212,47.62256337484827
CHIP_00094,2024-08-04,2024-08-04,2025-07-09,2025-07-09,2026-05-18,339,313,652,1965.8124159598501,238.27748808581939,73.94108185115003,248.67454234767257,738.4193709926919,437.94668438119436,excellent,fair,failed_rejected,3265.124899237184,802.8630511225388,-75.41095437696403
CHIP_00095,2024-03-17,2024-03-17,2024-05-07,2024-05-07,2024-11-04,51,181,232,1460.6771265787459,132.94536267617647,21.848457675612288,583.000386722287,407.6441091610444,269.1456508349344,excellent,poor,still_running,2606.115442813866,1527.3370441883278,-41.39411404817752
CHIP_00096,2024-01-15,2024-01-15,2024-08-22,2024-08-22,2025-03-26,220,216,436,940.9902862379823,288.4998328747285,93.9317037642477,470.4841674423324,591.4932182065309,494.4251930422377,excellent,poor,failed_rejected,2385.3992085258215,2442.9038479862297,2.410692485135274
CHIP_00097,2024-12-21,2024-12-21,2025-12-01,2025-12-01,2027-08-27,345,634,979,1371.7418462821952,148.28010153418788,100.64568410658956,708.8290889105613,789.3234503893722,171.93703337260257,poor,fair,still_running,3118.820171222906,703.2625664132886,-77.45100622016511
CHIP_00098,2024-01-07,2024-01-07,2024-11-24,2024-11-24,2025-11-26,322,367,689,1541.9559498819294,452.61301445725877,34.037225610352536,365.28093521848905,474.8133360594022,207.71303119524313,poor,poor,end_of_life,2868.7004612274322,1084.2933561237564,-62.202629002966056
CHIP_00099,2024-01-12,2024-01-12,2024-07-08,2024-07-08,2025-12-02,178,512,690,1695.7469242619704,334.06518419443177,28.245240126104683,273.3789633595462,243.1840098285143,253.99195745532035,good,excellent,repaired_and_running,2574.6203217705674,3782.35287219802,46.90915162189408
CHIP_00100,2024-11-06,2024-11-06,2025-05-07,2025-05-07,2026-08-11,182,461,643,1879.9830621194526,434.8744136537822,78.69286517784627,649.3080666215501,156.69295761663182,84.64826911309822,poor,poor,still_running,3199.551365189263,3902.492051013853,21.969976587108462
