chip_id,fail_proba,decision,detail,ground_truth
CHIP_00327,0.033,reuse,power_efficient_device,reuse
CHIP_00328,0.005,reuse,high_reliability_critical,reuse
CHIP_00329,0.005,reuse,consumer_electronics,reuse
CHIP_00330,0.01,reuse,high_frequency_computing,reuse
CHIP_00331,0.976,reject,physical_damage,reject
CHIP_00332,0.026,reuse,power_efficient_device,reuse
CHIP_00333,0.004,reuse,power_efficient_device,reuse
CHIP_00334,0.005,reuse,consumer_electronics,reuse
CHIP_00335,0.007,reuse,high_reliability_critical,reuse
CHIP_00336,0.004,reuse,power_efficient_device,reuse
CHIP_00337,0.004,reuse,high_frequency_computing,reuse
CHIP_00338,0.059,reuse,high_frequency_computing,repair
CHIP_00339,0.016,reuse,consumer_electronics,reuse
CHIP_00340,0.03,reuse,high_reliability_critical,repair
CHIP_00341,0.007,reuse,power_efficient_device,reuse
CHIP_00342,0.003,reuse,power_efficient_device,reuse
CHIP_00343,0.04,reuse,high_reliability_critical,repair
CHIP_00344,0.125,reuse,high_frequency_computing,reject
CHIP_00345,0.047,reuse,power_efficient_device,reuse
CHIP_00346,0.005,reuse,high_reliability_critical,reuse
CHIP_00347,0.032,reuse,high_frequency_computing,reuse
CHIP_00348,0.011,reuse,power_efficient_device,reuse
CHIP_00349,0.022,reuse,high_frequency_computing,reuse
CHIP_00350,0.004,reuse,high_frequency_computing,reuse
CHIP_00351,0.026,reuse,high_frequency_computing,reuse
CHIP_00352,0.006,reuse,power_efficient_device,reuse
CHIP_00353,0.016,reuse,high_frequency_computing,reuse
CHIP_00354,0.015,reuse,high_frequency_computing,reuse
CHIP_00355,0.004,reuse,consumer_electronics,reuse
CHIP_00356,0.019,reuse,consumer_electronics,repair
CHIP_00357,0.025,reuse,high_frequency_computing,reuse
CHIP_00358,0.009,reuse,power_efficient_device,reuse
CHIP_00359,0.007,reuse,consumer_electronics,reuse
CHIP_00360,0.013,reuse,power_efficient_device,reuse
CHIP_00361,0.015,reuse,consumer_electronics,reuse
CHIP_00362,0.226,reuse,high_frequency_computing,repair
CHIP_00363,0.005,reuse,power_efficient_device,reuse
CHIP_00364,0.005,reuse,power_efficient_device,reuse
CHIP_00365,0.05,reuse,high_frequency_computing,reuse
CHIP_00366,0.003,reuse,power_efficient_device,reuse
CHIP_00367,0.004,reuse,power_efficient_device,reuse
CHIP_00368,0.004,reuse,high_reliability_critical,reuse
CHIP_00369,0.048,reuse,consumer_electronics,reuse
CHIP_00370,0.009,reuse,power_efficient_device,reuse
CHIP_00371,0.036,reuse,high_frequency_computing,reuse
CHIP_00372,0.028,reuse,high_frequency_computing,reuse
CHIP_00373,0.008,reuse,high_frequency_computing,reuse
CHIP_00374,0.039,reuse,high_frequency_computing,reuse
CHIP_00375,0.009,reuse,high_frequency_computing,reuse
CHIP_00376,0.013,reuse,high_frequency_computing,reuse
CHIP_00377,0.008,reuse,high_reliability_critical,reuse
CHIP_00378,0.011,reuse,high_frequency_computing,reuse
CHIP_00379,0.005,reuse,high_reliability_critical,reuse
CHIP_00380,0.48,repair,multi_param_combined,reuse
CHIP_00381,0.056,reuse,high_frequency_computing,reuse
CHIP_00382,0.008,reuse,power_efficient_device,reuse
CHIP_00383,0.004,reuse,power_efficient_device,reuse
CHIP_00384,0.012,reuse,power_efficient_device,reuse
CHIP_00385,0.004,reuse,power_efficient_device,reuse
CHIP_00386,0.013,reuse,high_frequency_computing,reuse
CHIP_00387,0.004,reuse,high_frequency_computing,reuse
CHIP_00388,0.016,reuse,high_frequency_computing,reuse
CHIP_00389,0.005,reuse,power_efficient_device,reuse
CHIP_00390,0.01,reuse,power_efficient_device,reuse
CHIP_00391,0.003,reuse,consumer_electronics,reuse
CHIP_00392,0.009,reuse,power_efficient_device,reuse
CHIP_00393,0.009,reuse,power_efficient_device,reuse
CHIP_00394,0.039,reuse,high_frequency_computing,reuse
CHIP_00395,0.004,reuse,high_reliability_critical,reuse
CHIP_00396,0.017,reuse,high_frequency_computing,reuse
CHIP_00397,0.099,reuse,high_frequency_computing,reuse
CHIP_00398,0.002,reuse,power_efficient_device,reuse
CHIP_00399,0.004,reuse,power_efficient_device,reuse
CHIP_00400,0.027,reuse,high_reliability_critical,reuse
CHIP_00401,0.002,reuse,high_reliability_critical,reuse
CHIP_00402,0.053,reuse,high_frequency_computing,reuse
CHIP_00403,0.006,reuse,power_efficient_device,reuse
CHIP_00404,0.033,reuse,consumer_electronics,reuse
CHIP_00405,0.008,reuse,high_reliability_critical,reuse
CHIP_00406,0.006,reuse,power_efficient_device,reuse
CHIP_00407,0.024,reuse,high_frequency_computing,reuse
CHIP_00408,0.013,reuse,high_reliability_critical,reuse
CHIP_00409,0.004,reuse,power_efficient_device,reuse
CHIP_00410,0.005,reuse,power_efficient_device,reuse
CHIP_00411,0.023,reuse,power_efficient_device,reuse
CHIP_00412,0.018,reuse,high_reliability_critical,reuse
CHIP_00413,0.016,reuse,high_frequency_computing,reuse
CHIP_00414,0.008,reuse,power_efficient_device,reuse
CHIP_00415,0.009,reuse,power_efficient_device,reuse
CHIP_00416,0.01,reuse,high_frequency_computing,reuse
CHIP_00417,0.029,reuse,high_frequency_computing,reuse
CHIP_00418,0.006,reuse,high_reliability_critical,reuse
CHIP_00419,0.093,reuse,high_frequency_computing,repair
CHIP_00420,0.004,reuse,power_efficient_device,reuse
CHIP_00421,0.003,reuse,power_efficient_device,reuse
CHIP_00422,0.006,reuse,high_reliability_critical,reuse
CHIP_00423,0.014,reuse,power_efficient_device,reuse
CHIP_00424,0.983,reject,physical_damage,reject
CHIP_00425,0.005,reuse,high_reliability_critical,reuse
CHIP_00426,0.016,reuse,high_frequency_computing,reuse
CHIP_00427,0.043,reuse,high_frequency_computing,repair
CHIP_00428,0.004,reuse,power_efficient_device,reuse
CHIP_00429,0.611,repair,multi_param_combined,repair
CHIP_00430,0.008,reuse,high_reliability_critical,reuse
CHIP_00431,0.008,reuse,high_reliability_critical,reuse
CHIP_00432,0.008,reuse,power_efficient_device,reuse
CHIP_00433,0.012,reuse,power_efficient_device,reuse
CHIP_00434,0.016,reuse,high_frequency_computing,reuse
CHIP_00435,0.005,reuse,high_reliability_critical,reuse
CHIP_00436,0.014,reuse,consumer_electronics,reuse
CHIP_00437,0.004,reuse,high_reliability_critical,reuse
CHIP_00438,0.003,reuse,high_reliability_critical,reuse
CHIP_00439,0.078,reuse,high_frequency_computing,reuse
CHIP_00440,0.005,reuse,high_reliability_critical,reuse
CHIP_00441,0.003,reuse,power_efficient_device,reuse
CHIP_00442,0.012,reuse,high_reliability_critical,reuse
CHIP_00443,0.018,reuse,high_frequency_computing,reuse
CHIP_00444,0.006,reuse,high_reliability_critical,reuse
CHIP_00445,0.125,reuse,power_efficient_device,reuse
CHIP_00446,0.023,reuse,high_frequency_computing,reuse
CHIP_00447,0.005,reuse,power_efficient_device,reuse
CHIP_00448,0.019,reuse,high_frequency_computing,reuse
CHIP_00449,0.011,reuse,high_frequency_computing,reuse
CHIP_00450,0.006,reuse,high_reliability_critical,reuse
CHIP_00451,0.094,reuse,power_efficient_device,reuse
CHIP_00452,0.021,reuse,consumer_electronics,reuse
CHIP_00453,0.025,reuse,high_frequency_computing,reuse
CHIP_00454,0.613,repair,multi_param_combined,reuse
CHIP_00455,0.022,reuse,consumer_electronics,reuse
CHIP_00456,0.022,reuse,high_frequency_computing,reuse
CHIP_00457,0.006,reuse,consumer_electronics,reuse
CHIP_00458,0.005,reuse,high_frequency_computing,reuse
CHIP_00459,0.004,reuse,power_efficient_device,reuse
CHIP_00460,0.009,reuse,high_frequency_computing,reuse
CHIP_00461,0.005,reuse,power_efficient_device,reuse
CHIP_00462,0.003,reuse,power_efficient_device,reuse
CHIP_00463,0.009,reuse,power_efficient_device,reuse
CHIP_00464,0.012,reuse,power_efficient_device,reuse
CHIP_00465,0.003,reuse,power_efficient_device,reuse
CHIP_00466,0.007,reuse,consumer_electronics,reuse
CHIP_00467,0.6,repair,thermal_accumulation,repair
CHIP_00468,0.097,reuse,high_frequency_computing,reuse
CHIP_00469,0.051,reuse,high_reliability_critical,repair
CHIP_00470,0.379,repair,multi_param_combined,repair
CHIP_00471,0.033,reuse,high_reliability_critical,reuse
CHIP_00472,0.005,reuse,power_efficient_device,repair
CHIP_00473,0.007,reuse,high_reliability_critical,reuse
CHIP_00474,0.005,reuse,high_frequency_computing,reuse
CHIP_00475,0.061,reuse,high_reliability_critical,repair
CHIP_00476,0.015,reuse,high_frequency_computing,reuse
CHIP_00477,0.005,reuse,power_efficient_device,reuse
CHIP_00478,0.008,reuse,high_reliability_critical,reuse
CHIP_00479,0.023,reuse,high_frequency_computing,repair
CHIP_00480,0.003,reuse,power_efficient_device,reuse
CHIP_00481,0.034,reuse,high_frequency_computing,reuse
CHIP_00482,0.042,reuse,consumer_electronics,reuse
CHIP_00483,0.018,reuse,high_frequency_computing,reuse
CHIP_00484,0.004,reuse,high_reliability_critical,reuse
CHIP_00485,0.02,reuse,consumer_electronics,reuse
CHIP_00486,0.003,reuse,power_efficient_device,reuse
CHIP_00487,0.008,reuse,power_efficient_device,reuse
CHIP_00488,0.006,reuse,power_efficient_device,reuse
CHIP_00489,0.007,reuse,high_frequency_computing,reuse
CHIP_00490,0.011,reuse,high_frequency_computing,reuse
CHIP_00491,0.008,reuse,high_frequency_computing,repair
