head,relation,tail
CHIP_00018,UNDERGOES_TEST,TS::Functional
CHIP_00018,UNDERGOES_TEST,TS::Aging
CHIP_00019,OF_MODEL,MODEL::MODEL_C
CHIP_00019,EXHIBITS,FM::normal
CHIP_00019,UNDERGOES_TEST,TS::Appearance
CHIP_00019,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00019,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00019,UNDERGOES_TEST,TS::Functional
CHIP_00019,UNDERGOES_TEST,TS::Aging
CHIP_00020,OF_MODEL,MODEL::MODEL_A
CHIP_00020,EXHIBITS,FM::normal
CHIP_00020,UNDERGOES_TEST,TS::Appearance
CHIP_00020,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00020,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00020,UNDERGOES_TEST,TS::Functional
CHIP_00020,UNDERGOES_TEST,TS::Aging
CHIP_00021,OF_MODEL,MODEL::MODEL_A
CHIP_00021,EXHIBITS,FM::normal
CHIP_00021,UNDERGOES_TEST,TS::Appearance
CHIP_00021,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00021,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00021,UNDERGOES_TEST,TS::Functional
CHIP_00021,UNDERGOES_TEST,TS::Aging
CHIP_00022,OF_MODEL,MODEL::MODEL_A
CHIP_00022,EXHIBITS,FM::normal
CHIP_00022,UNDERGOES_TEST,TS::Appearance
CHIP_00022,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00022,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00022,UNDERGOES_TEST,TS::Functional
CHIP_00022,UNDERGOES_TEST,TS::Aging
CHIP_00023,OF_MODEL,MODEL::MODEL_B
CHIP_00023,EXHIBITS,FM::physical_damage
CHIP_00023,UNDERGOES_TEST,TS::Appearance
CHIP_00023,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00023,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00023,UNDERGOES_TEST,TS::Functional
CHIP_00023,UNDERGOES_TEST,TS::Aging
CHIP_00024,OF_MODEL,MODEL::MODEL_B
CHIP_00024,EXHIBITS,FM::normal
CHIP_00024,UNDERGOES_TEST,TS::Appearance
CHIP_00024,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00024,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00024,UNDERGOES_TEST,TS::Functional
CHIP_00024,UNDERGOES_TEST,TS::Aging
CHIP_00025,OF_MODEL,MODEL::MODEL_B
CHIP_00025,EXHIBITS,FM::normal
CHIP_00025,UNDERGOES_TEST,TS::Appearance
CHIP_00025,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00025,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00025,UNDERGOES_TEST,TS::Functional
CHIP_00025,UNDERGOES_TEST,TS::Aging
CHIP_00026,OF_MODEL,MODEL::MODEL_B
CHIP_00026,EXHIBITS,FM::normal
CHIP_00026,UNDERGOES_TEST,TS::Appearance
CHIP_00026,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00026,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00026,UNDERGOES_TEST,TS::Functional
CHIP_00026,UNDERGOES_TEST,TS::Aging
CHIP_00027,OF_MODEL,MODEL::MODEL_C
CHIP_00027,EXHIBITS,FM::normal
CHIP_00027,UNDERGOES_TEST,TS::Appearance
CHIP_00027,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00027,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00027,UNDERGOES_TEST,TS::Functional
CHIP_00027,UNDERGOES_TEST,TS::Aging
CHIP_00028,OF_MODEL,MODEL::MODEL_C
CHIP_00028,EXHIBITS,FM::normal
CHIP_00028,UNDERGOES_TEST,TS::Appearance
CHIP_00028,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00028,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00028,UNDERGOES_TEST,TS::Functional
CHIP_00028,UNDERGOES_TEST,TS::Aging
CHIP_00029,OF_MODEL,MODEL::MODEL_B
CHIP_00029,EXHIBITS,FM::normal
CHIP_00029,UNDERGOES_TEST,TS::Appearance
CHIP_00029,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00029,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00029,UNDERGOES_TEST,TS::Functional
CHIP_00029,UNDERGOES_TEST,TS::Aging
CHIP_00030,OF_MODEL,MODEL::MODEL_C
CHIP_00030,EXHIBITS,FM::normal
CHIP_00030,UNDERGOES_TEST,TS::Appearance
CHIP_00030,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00030,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00030,UNDERGOES_TEST,TS::Functional
CHIP_00030,UNDERGOES_TEST,TS::Aging
CHIP_00031,OF_MODEL,MODEL::MODEL_A
CHIP_00031,EXHIBITS,FM::normal
CHIP_00031,UNDERGOES_TEST,TS::Appearance
CHIP_00031,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00031,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00031,UNDERGOES_TEST,TS::Functional
CHIP_00031,UNDERGOES_TEST,TS::Aging
CHIP_00032,OF_MODEL,MODEL::MODEL_A
CHIP_00032,EXHIBITS,FM::normal
CHIP_00032,UNDERGOES_TEST,TS::Appearance
CHIP_00032,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00032,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00032,UNDERGOES_TEST,TS::Functional
CHIP_00032,UNDERGOES_TEST,TS::Aging
CHIP_00033,OF_MODEL,MODEL::MODEL_A
CHIP_00033,EXHIBITS,FM::normal
CHIP_00033,UNDERGOES_TEST,TS::Appearance
CHIP_00033,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00033,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00033,UNDERGOES_TEST,TS::Functional
CHIP_00033,UNDERGOES_TEST,TS::Aging
CHIP_00034,OF_MODEL,MODEL::MODEL_B
CHIP_00034,EXHIBITS,FM::normal
CHIP_00034,UNDERGOES_TEST,TS::Appearance
CHIP_00034,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00034,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00034,UNDERGOES_TEST,TS::Functional
CHIP_00034,UNDERGOES_TEST,TS::Aging
CHIP_00035,OF_MODEL,MODEL::MODEL_A
CHIP_00035,EXHIBITS,FM::normal
CHIP_00035,UNDERGOES_TEST,TS::Appearance
CHIP_00035,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00035,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00035,UNDERGOES_TEST,TS::Functional
CHIP_00035,UNDERGOES_TEST,TS::Aging
CHIP_00036,OF_MODEL,MODEL::MODEL_C
CHIP_00036,EXHIBITS,FM::normal
CHIP_00036,UNDERGOES_TEST,TS::Appearance
CHIP_00036,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00036,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00036,UNDERGOES_TEST,TS::Functional
CHIP_00036,UNDERGOES_TEST,TS::Aging
CHIP_00037,OF_MODEL,MODEL::MODEL_B
CHIP_00037,EXHIBITS,FM::normal
CHIP_00037,UNDERGOES_TEST,TS::Appearance
CHIP_00037,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00037,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00037,UNDERGOES_TEST,TS::Functional
CHIP_00037,UNDERGOES_TEST,TS::Aging
CHIP_00038,OF_MODEL,MODEL::MODEL_C
CHIP_00038,EXHIBITS,FM::normal
CHIP_00038,UNDERGOES_TEST,TS::Appearance
CHIP_00038,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00038,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00038,UNDERGOES_TEST,TS::Functional
CHIP_00038,UNDERGOES_TEST,TS::Aging
CHIP_00039,OF_MODEL,MODEL::MODEL_A
CHIP_00039,EXHIBITS,FM::thermal_accumulation
CHIP_00039,UNDERGOES_TEST,TS::Appearance
CHIP_00039,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00039,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00039,UNDERGOES_TEST,TS::Functional
CHIP_00039,UNDERGOES_TEST,TS::Aging
CHIP_00040,OF_MODEL,MODEL::MODEL_A
CHIP_00040,EXHIBITS,FM::normal
CHIP_00040,UNDERGOES_TEST,TS::Appearance
CHIP_00040,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00040,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00040,UNDERGOES_TEST,TS::Functional
CHIP_00040,UNDERGOES_TEST,TS::Aging
CHIP_00041,OF_MODEL,MODEL::MODEL_A
CHIP_00041,EXHIBITS,FM::normal
CHIP_00041,UNDERGOES_TEST,TS::Appearance
CHIP_00041,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00041,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00041,UNDERGOES_TEST,TS::Functional
CHIP_00041,UNDERGOES_TEST,TS::Aging
CHIP_00042,OF_MODEL,MODEL::MODEL_B
CHIP_00042,EXHIBITS,FM::normal
CHIP_00042,UNDERGOES_TEST,TS::Appearance
CHIP_00042,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00042,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00042,UNDERGOES_TEST,TS::Functional
CHIP_00042,UNDERGOES_TEST,TS::Aging
CHIP_00043,OF_MODEL,MODEL::MODEL_C
CHIP_00043,EXHIBITS,FM::normal
CHIP_00043,UNDERGOES_TEST,TS::Appearance
CHIP_00043,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00043,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00043,UNDERGOES_TEST,TS::Functional
CHIP_00043,UNDERGOES_TEST,TS::Aging
CHIP_00044,OF_MODEL,MODEL::MODEL_B
CHIP_00044,EXHIBITS,FM::normal
CHIP_00044,UNDERGOES_TEST,TS::Appearance
CHIP_00044,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00044,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00044,UNDERGOES_TEST,TS::Functional
CHIP_00044,UNDERGOES_TEST,TS::Aging
CHIP_00045,OF_MODEL,MODEL::MODEL_B
CHIP_00045,EXHIBITS,FM::normal
CHIP_00045,UNDERGOES_TEST,TS::Appearance
CHIP_00045,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00045,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00045,UNDERGOES_TEST,TS::Functional
CHIP_00045,UNDERGOES_TEST,TS::Aging
CHIP_00046,OF_MODEL,MODEL::MODEL_A
CHIP_00046,EXHIBITS,FM::normal
CHIP_00046,UNDERGOES_TEST,TS::Appearance
CHIP_00046,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00046,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00046,UNDERGOES_TEST,TS::Functional
CHIP_00046,UNDERGOES_TEST,TS::Aging
CHIP_00047,OF_MODEL,MODEL::MODEL_B
CHIP_00047,EXHIBITS,FM::normal
CHIP_00047,UNDERGOES_TEST,TS::Appearance
CHIP_00047,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00047,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00047,UNDERGOES_TEST,TS::Functional
CHIP_00047,UNDERGOES_TEST,TS::Aging
CHIP_00048,OF_MODEL,MODEL::MODEL_B
CHIP_00048,EXHIBITS,FM::normal
CHIP_00048,UNDERGOES_TEST,TS::Appearance
CHIP_00048,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00048,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00048,UNDERGOES_TEST,TS::Functional
CHIP_00048,UNDERGOES_TEST,TS::Aging
CHIP_00049,OF_MODEL,MODEL::MODEL_A
CHIP_00049,EXHIBITS,FM::noise_margin_insufficient
CHIP_00049,UNDERGOES_TEST,TS::Appearance
CHIP_00049,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00049,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00049,UNDERGOES_TEST,TS::Functional
CHIP_00049,UNDERGOES_TEST,TS::Aging
CHIP_00050,OF_MODEL,MODEL::MODEL_B
CHIP_00050,EXHIBITS,FM::normal
CHIP_00050,UNDERGOES_TEST,TS::Appearance
CHIP_00050,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00050,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00050,UNDERGOES_TEST,TS::Functional
CHIP_00050,UNDERGOES_TEST,TS::Aging
CHIP_00051,OF_MODEL,MODEL::MODEL_A
CHIP_00051,EXHIBITS,FM::normal
CHIP_00051,UNDERGOES_TEST,TS::Appearance
CHIP_00051,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00051,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00051,UNDERGOES_TEST,TS::Functional
CHIP_00051,UNDERGOES_TEST,TS::Aging
CHIP_00052,OF_MODEL,MODEL::MODEL_A
CHIP_00052,EXHIBITS,FM::normal
CHIP_00052,UNDERGOES_TEST,TS::Appearance
CHIP_00052,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00052,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00052,UNDERGOES_TEST,TS::Functional
CHIP_00052,UNDERGOES_TEST,TS::Aging
CHIP_00053,OF_MODEL,MODEL::MODEL_A
CHIP_00053,EXHIBITS,FM::thermal_accumulation
CHIP_00053,UNDERGOES_TEST,TS::Appearance
CHIP_00053,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00053,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00053,UNDERGOES_TEST,TS::Functional
CHIP_00053,UNDERGOES_TEST,TS::Aging
CHIP_00054,OF_MODEL,MODEL::MODEL_A
CHIP_00054,EXHIBITS,FM::noise_margin_insufficient
CHIP_00054,UNDERGOES_TEST,TS::Appearance
CHIP_00054,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00054,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00054,UNDERGOES_TEST,TS::Functional
CHIP_00054,UNDERGOES_TEST,TS::Aging
CHIP_00055,OF_MODEL,MODEL::MODEL_B
CHIP_00055,EXHIBITS,FM::normal
CHIP_00055,UNDERGOES_TEST,TS::Appearance
CHIP_00055,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00055,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00055,UNDERGOES_TEST,TS::Functional
CHIP_00055,UNDERGOES_TEST,TS::Aging
CHIP_00056,OF_MODEL,MODEL::MODEL_A
CHIP_00056,EXHIBITS,FM::normal
CHIP_00056,UNDERGOES_TEST,TS::Appearance
CHIP_00056,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00056,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00056,UNDERGOES_TEST,TS::Functional
CHIP_00056,UNDERGOES_TEST,TS::Aging
CHIP_00057,OF_MODEL,MODEL::MODEL_A
CHIP_00057,EXHIBITS,FM::normal
CHIP_00057,UNDERGOES_TEST,TS::Appearance
CHIP_00057,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00057,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00057,UNDERGOES_TEST,TS::Functional
CHIP_00057,UNDERGOES_TEST,TS::Aging
CHIP_00058,OF_MODEL,MODEL::MODEL_B
CHIP_00058,EXHIBITS,FM::normal
CHIP_00058,UNDERGOES_TEST,TS::Appearance
CHIP_00058,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00058,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00058,UNDERGOES_TEST,TS::Functional
CHIP_00058,UNDERGOES_TEST,TS::Aging
CHIP_00059,OF_MODEL,MODEL::MODEL_B
CHIP_00059,EXHIBITS,FM::normal
CHIP_00059,UNDERGOES_TEST,TS::Appearance
CHIP_00059,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00059,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00059,UNDERGOES_TEST,TS::Functional
CHIP_00059,UNDERGOES_TEST,TS::Aging
CHIP_00060,OF_MODEL,MODEL::MODEL_C
CHIP_00060,EXHIBITS,FM::normal
CHIP_00060,UNDERGOES_TEST,TS::Appearance
CHIP_00060,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00060,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00060,UNDERGOES_TEST,TS::Functional
CHIP_00060,UNDERGOES_TEST,TS::Aging
CHIP_00061,OF_MODEL,MODEL::MODEL_B
CHIP_00061,EXHIBITS,FM::normal
CHIP_00061,UNDERGOES_TEST,TS::Appearance
CHIP_00061,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00061,UNDERGOES_TEST,TS::AC_Electrical
CHIP_00061,UNDERGOES_TEST,TS::Functional
CHIP_00061,UNDERGOES_TEST,TS::Aging
CHIP_00062,OF_MODEL,MODEL::MODEL_B
CHIP_00062,EXHIBITS,FM::normal
CHIP_00062,UNDERGOES_TEST,TS::Appearance
CHIP_00062,UNDERGOES_TEST,TS::DC_Electrical
CHIP_00062,UNDERGOES_TEST,TS::AC_Electrical
